geocode,Municipio,value
250010,Água Branca,0.98
250020,Aguiar,0.98
250030,Alagoa Grande,0.99
250040,Alagoa Nova,0.99
250050,Alagoinha,0.99
250053,Alcantil,0.97
250057,Algodão de Jandaíra,0.99
250060,Alhandra,0.98
250073,Amparo,0.99
250077,Aparecida,1.00
250080,Araçagi,1.00
250090,Arara,0.99
250100,Araruna,0.99
250110,Areia,0.96
250115,Areia de Baraúnas,1.00
250120,Areial,0.98
250130,Aroeiras,0.97
250135,Assunção,0.99
250140,Baía da Traição,0.99
250150,Bananeiras,0.99
250153,Baraúna,0.99
250160,Barra de Santa Rosa,0.99
250157,Barra de Santana,0.99
250170,Barra de São Miguel,0.99
250180,Bayeux,0.98
250190,Belém,0.98
250200,Belém do Brejo do Cruz,0.98
250205,Bernardino Batista,0.99
250210,Boa Ventura,0.99
250215,Boa Vista,0.00
250220,Bom Jesus,0.93
250230,Bom Sucesso,0.97
250240,Bonito de Santa Fé,0.99
250250,Boqueirão,0.95
250270,Borborema,0.99
250280,Brejo do Cruz,0.98
250290,Brejo dos Santos,1.00
250300,Caaporã,0.95
250310,Cabaceiras,0.98
250320,Cabedelo,0.97
250330,Cachoeira dos Índios,0.98
250340,Cacimba de Areia,1.00
250350,Cacimba de Dentro,0.99
250355,Cacimbas,1.00
250360,Caiçara,0.99
250370,Cajazeiras,0.95
250375,Cajazeirinhas,0.99
250380,Caldas Brandão,0.99
250390,Camalaú,0.99
250400,Campina Grande,0.90
250403,Capim,0.99
250407,Caraúbas,0.98
250410,Carrapateira,1.00
250415,Casserengue,1.00
250420,Catingueira,1.00
250430,Catolé do Rocha,0.97
250435,Caturité,0.96
250440,Conceição,0.98
250450,Condado,0.99
250460,Conde,0.99
250470,Congo,0.99
250480,Coremas,0.79
250485,Coxixola,0.99
250490,Cruz do Espírito Santo,0.99
250500,Cubati,1.00
250510,Cuité,0.97
250523,Cuité de Mamanguape,0.93
250520,Cuitegi,1.00
250527,Curral de Cima,0.98
250530,Curral Velho,1.00
250535,Damião,1.00
250540,Desterro,0.99
250560,Diamante,0.98
250570,Dona Inês,0.95
250580,Duas Estradas,1.00
250590,Emas,1.00
250600,Esperança,0.98
250610,Fagundes,1.00
250620,Frei Martinho,0.94
250625,Gado Bravo,0.99
250630,Guarabira,0.95
250640,Gurinhém,0.99
250650,Gurjão,0.96
250660,Ibiara,0.99
250260,Igaracy,0.99
250670,Imaculada,0.99
250680,Ingá,0.96
250690,Itabaiana,0.97
250700,Itaporanga,0.97
250710,Itapororoca,0.99
250720,Itatuba,0.99
250730,Jacaraú,0.99
250740,Jericó,0.97
250750,João Pessoa,0.84
251365,Joca Claudino,0.98
250760,Juarez Távora,1.00
250770,Juazeirinho,0.99
250780,Junco do Seridó,1.00
250790,Juripiranga,0.96
250800,Juru,0.97
250810,Lagoa,0.98
250820,Lagoa de Dentro,0.98
250830,Lagoa Seca,0.99
250840,Lastro,0.99
250850,Livramento,0.99
250855,Logradouro,0.99
250860,Lucena,0.98
250870,Mãe d'Água,1.00
250880,Malta,1.00
250890,Mamanguape,0.96
250900,Manaíra,0.96
250905,Marcação,1.00
250910,Mari,0.98
250915,Marizópolis,1.00
250920,Massaranduba,0.99
250930,Mataraca,0.97
250933,Matinhas,0.98
250937,Mato Grosso,0.99
250939,Maturéia,1.00
250940,Mogeiro,0.98
250950,Montadas,0.99
250960,Monte Horebe,1.00
250970,Monteiro,0.94
250980,Mulungu,0.99
250990,Natuba,0.97
251000,Nazarezinho,0.99
251010,Nova Floresta,1.00
251020,Nova Olinda,0.99
251030,Nova Palmeira,0.99
251040,Olho d'Água,1.00
251050,Olivedos,0.98
251060,Ouro Velho,0.95
251065,Parari,0.97
251070,Passagem,1.00
251080,Patos,0.97
251090,Paulista,0.97
251100,Pedra Branca,0.99
251110,Pedra Lavrada,0.98
251120,Pedras de Fogo,0.96
251272,Pedro Régis,0.99
251130,Piancó,0.88
251140,Picuí,0.96
251150,Pilar,0.96
251160,Pilões,1.00
251170,Pilõezinhos,1.00
251180,Pirpirituba,1.00
251190,Pitimbu,0.98
251200,Pocinhos,0.99
251203,Poço Dantas,1.00
251207,Poço de José de Moura,1.00
251210,Pombal,0.94
251220,Prata,0.98
251230,Princesa Isabel,0.83
251240,Puxinanã,0.94
251250,Queimadas,0.98
251260,Quixabá,1.00
251270,Remígio,0.98
251274,Riachão,0.99
251275,Riachão do Bacamarte,1.00
251276,Riachão do Poço,1.00
251278,Riacho de Santo Antônio,0.94
251280,Riacho dos Cavalos,0.98
251290,Rio Tinto,0.95
251300,Salgadinho,1.00
251310,Salgado de São Félix,0.99
251315,Santa Cecília,0.99
251320,Santa Cruz,0.96
251330,Santa Helena,0.99
251335,Santa Inês,0.99
251340,Santa Luzia,0.98
251370,Santa Rita,0.95
251380,Santa Teresinha,1.00
251350,Santana de Mangueira,0.99
251360,Santana dos Garrotes,0.99
251385,Santo André,0.99
251392,São Bentinho,0.99
251390,São Bento,0.97
251396,São Domingos,0.99
251394,São Domingos do Cariri,0.98
251398,São Francisco,0.99
251400,São João do Cariri,0.99
250070,São João do Rio do Peixe,0.98
251410,São João do Tigre,1.00
251420,São José da Lagoa Tapada,0.99
251430,São José de Caiana,0.97
251440,São José de Espinharas,0.97
251450,São José de Piranhas,0.99
251455,São José de Princesa,1.00
251460,São José do Bonfim,1.00
251465,São José do Brejo do Cruz,1.00
251470,São José do Sabugi,0.97
251480,São José dos Cordeiros,0.99
251445,São José dos Ramos,0.99
251490,São Mamede,0.98
251500,São Miguel de Taipu,0.99
251510,São Sebastião de Lagoa de Roça,0.98
251520,São Sebastião do Umbuzeiro,1.00
251540,São Vicente do Seridó,0.99
251530,Sapé,0.97
251550,Serra Branca,0.98
251560,Serra da Raiz,1.00
251570,Serra Grande,0.99
251580,Serra Redonda,0.99
251590,Serraria,0.96
251593,Sertãozinho,1.00
251597,Sobrado,1.00
251600,Solânea,0.98
251610,Soledade,0.98
251615,Sossêgo,0.99
251620,Sousa,0.95
251630,Sumé,0.97
251640,Tacima,0.99
251650,Taperoá,0.98
251660,Tavares,0.97
251670,Teixeira,1.00
251675,Tenório,0.99
251680,Triunfo,0.94
251690,Uiraúna,1.00
251700,Umbuzeiro,0.99
251710,Várzea,0.96
251720,Vieirópolis,1.00
250550,Vista Serrana,1.00
251740,Zabelê,1.00
