"Cod_IBGE","Municipio","Perc_Domic_Ate 1SM"
3502507,"Aparecida","0,333252595573582"
3503158,"Arapeí","0,83392263959669"
3503505,"Areias",1
3504909,"Bananal","0,661186460796835"
3508504,"Caçapava","0,182293997820929"
3508603,"Cachoeira Paulista","0,415827632464201"
3509700,"Campos do Jordão","0,460498225859539"
3509957,"Canas","0,845921051332431"
3510500,"Caraguatatuba","0,326631551611248"
3513405,"Cruzeiro","0,341617407504287"
3513603,"Cunha","0,972782467510915"
3518404,"Guaratinguetá","0,21794031964665"
3520202,"Igaratá","0,601853386065991"
3520400,"Ilhabela","0,257070778798549"
3524402,"Jacareí","0,198744415235057"
3524907,"Jambeiro","0,288470098568083"
3526308,"Lagoinha","0,78350949507073"
3526605,"Lavrinhas","0,831753327595282"
3527207,"Lorena","0,321253409168437"
3531704,"Monteiro Lobato","0,569937344555686"
3532306,"Natividade da Serra","0,869469300752277"
3535606,"Paraibuna","0,552067798447809"
3538006,"Pindamonhangaba","0,285969608344488"
3538501,"Piquete","0,390358559297424"
3540754,"Potim","0,793910105520932"
3541901,"Queluz","0,71247350658104"
3542305,"Redenção da Serra","0,872663676588246"
3544301,"Roseira","0,520441107912021"
3546009,"Santa Branca","0,417782451529682"
3548203,"Santo Antônio do Pinhal","0,640987365958487"
3548609,"São Bento do Sapucaí","0,719646399230146"
3549607,"São José do Barreiro","0,771646669360781"
3549904,"São José dos Campos",0
3550001,"São Luís do Paraitinga","0,731558703949844"
3550704,"São Sebastião","0,252978665048829"
3552007,"Silveiras","0,804548435608105"
3554102,"Taubaté","0,032441785029156"
3554805,"Tremembé","0,184090727412766"
3555406,"Ubatuba","0,46653652917803"
