"geocode","Municipio","value"
3502507,"Aparecida","0,717736594191603"
3503158,"Arapeí","0,436041472279341"
3503505,"Areias","0,595527060924283"
3504909,"Bananal","0,547948534631465"
3508504,"Caçapava","0,802325241030882"
3508603,"Cachoeira Paulista","0,70208280135553"
3509700,"Campos do Jordão","0,55628579562117"
3509957,"Canas","0,578805650387711"
3510500,"Caraguatatuba","0,593737102374067"
3513405,"Cruzeiro","0,664334322746283"
3513603,"Cunha",0
3518404,"Guaratinguetá","0,680880287476222"
3520202,"Igaratá","0,352432764781968"
3520400,"Ilhabela","0,552833873563981"
3524402,"Jacareí","0,62330166964727"
3524907,"Jambeiro","0,292872051881956"
3526308,"Lagoinha","0,150955083070088"
3526605,"Lavrinhas","0,52189347634703"
3527207,"Lorena","0,651993183741869"
3531704,"Monteiro Lobato","0,252183583537826"
3532306,"Natividade da Serra","0,171589728490776"
3535606,"Paraibuna","0,343687914517418"
3538006,"Pindamonhangaba","0,702549662068358"
3538501,"Piquete","0,587584033283202"
3540754,"Potim",1
3541901,"Queluz","0,79047616718174"
3542305,"Redenção da Serra","0,164389503111847"
3544301,"Roseira","0,43975666323746"
3546009,"Santa Branca","0,650665066871901"
3548203,"Santo Antônio do Pinhal","0,391465430784798"
3548609,"São Bento do Sapucaí","0,292402456017868"
3549607,"São José do Barreiro","0,42976914124839"
3549904,"São José dos Campos","0,558667418893644"
3550001,"São Luís do Paraitinga","0,222316430529911"
3550704,"São Sebastião","0,424255612274772"
3552007,"Silveiras","0,507830390815154"
3554102,"Taubaté","0,684867088286032"
3554805,"Tremembé","0,852465749347037"
3555406,"Ubatuba","0,376736020651568"
