"Cod_IBGE","Municipio","Dimensão A[P]"
3502507,"Aparecida","0,520796978260372"
3503158,"Arapeí","0,418023653818418"
3503505,"Areias","0,926750018828133"
3504909,"Bananal","0,390801161683301"
3508504,"Caçapava","0,323480931943676"
3508603,"Cachoeira Paulista","0,54248600246163"
3509700,"Campos do Jordão","0,440874944060804"
3509957,"Canas","0,887977143634053"
3510500,"Caraguatatuba","0,452623911510869"
3513405,"Cruzeiro","0,382451312597327"
3513603,"Cunha","0,791770335926449"
3518404,"Guaratinguetá","0,250616945332847"
3520202,"Igaratá","0,611506688195957"
3520400,"Ilhabela","0,289702471240582"
3524402,"Jacareí","0,258891020125284"
3524907,"Jambeiro","0,109094788918203"
3526308,"Lagoinha","0,671796772085013"
3526605,"Lavrinhas","0,652593542910871"
3527207,"Lorena","0,34257206169571"
3531704,"Monteiro Lobato","0,706230259359669"
3532306,"Natividade da Serra","0,70787990201753"
3535606,"Paraibuna","0,615100970681611"
3538006,"Pindamonhangaba","0,385036639160626"
3538501,"Piquete","0,126807504208796"
3540754,"Potim",1
3541901,"Queluz","0,607118334170989"
3542305,"Redenção da Serra","0,849150428862217"
3544301,"Roseira","0,487055898421483"
3546009,"Santa Branca","0,472499002505028"
3548203,"Santo Antônio do Pinhal","0,635635669311117"
3548609,"São Bento do Sapucaí","0,382856156910144"
3549607,"São José do Barreiro","0,772536224199077"
3549904,"São José dos Campos","0,05332807715068"
3550001,"São Luís do Paraitinga","0,780883541739195"
3550704,"São Sebastião","0,318815338604951"
3552007,"Silveiras","0,722089932737637"
3554102,"Taubaté",0
3554805,"Tremembé","0,464788162539138"
3555406,"Ubatuba","0,606191285777725"
