"Cod_IBGE","Municipio","PropSUSUTI"
3502507,"Aparecida",1
3503158,"Arapeí",1
3503505,"Areias",1
3504909,"Bananal",1
3508504,"Caçapava",0
3508603,"Cachoeira Paulista",1
3509700,"Campos do Jordão",1
3509957,"Canas",1
3510500,"Caraguatatuba",0
3513405,"Cruzeiro",1
3513603,"Cunha",1
3518404,"Guaratinguetá",1
3520202,"Igaratá",1
3520400,"Ilhabela",1
3524402,"Jacareí","0,689285714285714"
3524907,"Jambeiro",1
3526308,"Lagoinha",1
3526605,"Lavrinhas",1
3527207,"Lorena","0,672"
3531704,"Monteiro Lobato",1
3532306,"Natividade da Serra",1
3535606,"Paraibuna",1
3538006,"Pindamonhangaba","0,417391304347826"
3538501,"Piquete",1
3540754,"Potim",1
3541901,"Queluz",1
3542305,"Redenção da Serra",1
3544301,"Roseira",1
3546009,"Santa Branca",1
3548203,"Santo Antônio do Pinhal",1
3548609,"São Bento do Sapucaí",1
3549607,"São José do Barreiro",1
3549904,"São José dos Campos","0,461311475409836"
3550001,"São Luís do Paraitinga",1
3550704,"São Sebastião",1
3552007,"Silveiras",1
3554102,"Taubaté",0
3554805,"Tremembé",1
3555406,"Ubatuba",1
