"Cod_IBGE","Municipio","TaxaCM"
3502507,"Aparecida","0,420477553352096"
3503158,"Arapeí",1
3503505,"Areias",1
3504909,"Bananal",1
3508504,"Caçapava","0,711022023121662"
3508603,"Cachoeira Paulista","0,654196711168226"
3509700,"Campos do Jordão","0,094877236930606"
3509957,"Canas",1
3510500,"Caraguatatuba",0
3513405,"Cruzeiro","0,197397209612806"
3513603,"Cunha","0,51376541737949"
3518404,"Guaratinguetá","0,78495343618688"
3520202,"Igaratá",1
3520400,"Ilhabela","0,880161320540759"
3524402,"Jacareí","0,798229774277552"
3524907,"Jambeiro",1
3526308,"Lagoinha",1
3526605,"Lavrinhas",1
3527207,"Lorena","0,433081150674409"
3531704,"Monteiro Lobato",1
3532306,"Natividade da Serra",1
3535606,"Paraibuna",1
3538006,"Pindamonhangaba","0,670122904542691"
3538501,"Piquete",1
3540754,"Potim",1
3541901,"Queluz","0,68772290456858"
3542305,"Redenção da Serra",1
3544301,"Roseira",1
3546009,"Santa Branca",1
3548203,"Santo Antônio do Pinhal",1
3548609,"São Bento do Sapucaí",1
3549607,"São José do Barreiro",1
3549904,"São José dos Campos","0,814245598187576"
3550001,"São Luís do Paraitinga","0,411795833158559"
3550704,"São Sebastião","0,411278009006286"
3552007,"Silveiras",1
3554102,"Taubaté","0,790411501581772"
3554805,"Tremembé","0,866776773740924"
3555406,"Ubatuba","0,769228811953344"
