"Cod_IBGE","Municipio","PropSUSCM"
3502507,"Aparecida","0,11"
3503158,"Arapeí",1
3503505,"Areias",1
3504909,"Bananal",1
3508504,"Caçapava","0,230769230769231"
3508603,"Cachoeira Paulista",0
3509700,"Campos do Jordão","0,844444444444444"
3509957,"Canas",1
3510500,"Caraguatatuba","0,036206896551724"
3513405,"Cruzeiro","0,083809523809524"
3513603,"Cunha","0,38"
3518404,"Guaratinguetá","0,7568"
3520202,"Igaratá",1
3520400,"Ilhabela",0
3524402,"Jacareí","0,489777777777778"
3524907,"Jambeiro",1
3526308,"Lagoinha",1
3526605,"Lavrinhas",1
3527207,"Lorena","0,493333333333333"
3531704,"Monteiro Lobato",1
3532306,"Natividade da Serra",1
3535606,"Paraibuna",1
3538006,"Pindamonhangaba","0,340377358490566"
3538501,"Piquete",1
3540754,"Potim",1
3541901,"Queluz",0
3542305,"Redenção da Serra",1
3544301,"Roseira",1
3546009,"Santa Branca",1
3548203,"Santo Antônio do Pinhal",1
3548609,"São Bento do Sapucaí",1
3549607,"São José do Barreiro",1
3549904,"São José dos Campos","0,5328125"
3550001,"São Luís do Paraitinga","0,37"
3550704,"São Sebastião","0,13"
3552007,"Silveiras",1
3554102,"Taubaté","0,111111111111111"
3554805,"Tremembé",0
3555406,"Ubatuba","0,2"
