"geocode","Municipio","value"
3502507,"Aparecida","0,130716330028144"
3503158,"Arapeí","0,575662351084482"
3503505,"Areias",1
3504909,"Bananal","0,80855374048928"
3508504,"Caçapava","0,788823786127368"
3508603,"Cachoeira Paulista","0,905690012136789"
3509700,"Campos do Jordão","0,738520090668842"
3509957,"Canas",1
3510500,"Caraguatatuba",0
3513405,"Cruzeiro","0,605068468222174"
3513603,"Cunha","0,756882708689745"
3518404,"Guaratinguetá","0,354860308560641"
3520202,"Igaratá","0,780220336653574"
3520400,"Ilhabela","0,640483961622277"
3524402,"Jacareí","0,542654155029118"
3524907,"Jambeiro",1
3526308,"Lagoinha",1
3526605,"Lavrinhas",1
3527207,"Lorena","0,244108200899212"
3531704,"Monteiro Lobato",1
3532306,"Natividade da Serra",1
3535606,"Paraibuna","0,885008269655097"
3538006,"Pindamonhangaba","0,682571096824099"
3538501,"Piquete","0,92328551986729"
3540754,"Potim","0,95748530393327"
3541901,"Queluz","0,921930726142145"
3542305,"Redenção da Serra",1
3544301,"Roseira","0,902194767067549"
3546009,"Santa Branca",1
3548203,"Santo Antônio do Pinhal","0,538530470486384"
3548609,"São Bento do Sapucaí","0,903687290386798"
3549607,"São José do Barreiro","0,747362031547525"
3549904,"São José dos Campos","0,455797650940163"
3550001,"São Luís do Paraitinga","0,901965972193093"
3550704,"São Sebastião","0,5878946063044"
3552007,"Silveiras",1
3554102,"Taubaté","0,344620092247763"
3554805,"Tremembé","0,955592257913641"
3555406,"Ubatuba","0,861537287172007"
