"Cod_IBGE","Municipio","TaxaMedicos"
3502507,"Aparecida","0,480978631930496"
3503158,"Arapeí","0,35373711421645"
3503505,"Areias","0,314490203108574"
3504909,"Bananal",0
3508504,"Caçapava","0,044100433594566"
3508603,"Cachoeira Paulista","0,711182087263034"
3509700,"Campos do Jordão","0,388898229461469"
3509957,"Canas","0,774124572093956"
3510500,"Caraguatatuba","0,11055472339888"
3513405,"Cruzeiro","0,327820501003827"
3513603,"Cunha","0,700687208183926"
3518404,"Guaratinguetá","0,148940993922693"
3520202,"Igaratá","0,779663276236489"
3520400,"Ilhabela","0,227839911360553"
3524402,"Jacareí","0,090650121753522"
3524907,"Jambeiro",1
3526308,"Lagoinha","0,48101082064465"
3526605,"Lavrinhas","0,789045622205974"
3527207,"Lorena","0,161276217625932"
3531704,"Monteiro Lobato","0,476133317295286"
3532306,"Natividade da Serra","0,786693288330548"
3535606,"Paraibuna","0,784427392788599"
3538006,"Pindamonhangaba","0,2943940868427"
3538501,"Piquete","0,941240559759634"
3540754,"Potim","0,999105423341282"
3541901,"Queluz","0,596311493925862"
3542305,"Redenção da Serra","0,323101126037222"
3544301,"Roseira","0,475578374146931"
3546009,"Santa Branca","0,781967827626979"
3548203,"Santo Antônio do Pinhal","0,757917972413286"
3548609,"São Bento do Sapucaí","0,282649636231852"
3549607,"São José do Barreiro","0,891177901427496"
3549904,"São José dos Campos","0,096594629533714"
3550001,"São Luís do Paraitinga","0,815778923573561"
3550704,"São Sebastião","0,572301812926917"
3552007,"Silveiras","0,752119657791798"
3554102,"Taubaté","0,167664463852325"
3554805,"Tremembé","0,944687501310372"
3555406,"Ubatuba","0,69947172990135"
