"Cod_IBGE","Municipio","Dimensão A[S]"
3502507,"Aparecida","0,446468432841073"
3503158,"Arapeí","0,706971260113041"
3503505,"Areias","0,887914474609778"
3504909,"Bananal","0,672308190125126"
3508504,"Caçapava","0,482809619842669"
3508603,"Cachoeira Paulista","0,706839129487117"
3509700,"Campos do Jordão","0,690893703058071"
3509957,"Canas","0,980536250793228"
3510500,"Caraguatatuba",0
3513405,"Cruzeiro","0,430542517756095"
3513603,"Cunha","0,665274288832698"
3518404,"Guaratinguetá","0,539435796113585"
3520202,"Igaratá","0,820746406759233"
3520400,"Ilhabela","0,378485812600613"
3524402,"Jacareí","0,548178040533735"
3524907,"Jambeiro","0,990312129348311"
3526308,"Lagoinha","0,966535575791763"
3526605,"Lavrinhas","0,920793935389214"
3527207,"Lorena","0,383089851705506"
3531704,"Monteiro Lobato","0,948094915658349"
3532306,"Natividade da Serra","0,967378135040658"
3535606,"Paraibuna","0,839154115610485"
3538006,"Pindamonhangaba","0,465059383654736"
3538501,"Piquete","0,906676248903418"
3540754,"Potim","0,871128268074478"
3541901,"Queluz","0,587353437026662"
3542305,"Redenção da Serra","0,89524952976991"
3544301,"Roseira","0,757424314498253"
3546009,"Santa Branca",1
3548203,"Santo Antônio do Pinhal","0,747598149119212"
3548609,"São Bento do Sapucaí","0,734476071721546"
3549607,"São José do Barreiro","0,799794514852677"
3549904,"São José dos Campos","0,521101325444623"
3550001,"São Luís do Paraitinga","0,657261012953953"
3550704,"São Sebastião","0,345465340687491"
3552007,"Silveiras","0,957586454328643"
3554102,"Taubaté","0,277857780457328"
3554805,"Tremembé","0,707914925160798"
3555406,"Ubatuba","0,525094783875535"
