"Cod_IBGE","Municipio","AtingParalisa"
3502507,"Aparecida",0
3503158,"Arapeí","0,48960499"
3503505,"Areias",0
3504909,"Bananal","0,320926385"
3508504,"Caçapava","0,056350724"
3508603,"Cachoeira Paulista","0,173029504"
3509700,"Campos do Jordão","0,025131984"
3509957,"Canas","0,719733656"
3510500,"Caraguatatuba","0,087378787"
3513405,"Cruzeiro",0
3513603,"Cunha",1
3518404,"Guaratinguetá",0
3520202,"Igaratá","0,636537237"
3520400,"Ilhabela","0,097048891"
3524402,"Jacareí","0,04675422"
3524907,"Jambeiro","0,216216216"
3526308,"Lagoinha","0,985545335"
3526605,"Lavrinhas","0,278980892"
3527207,"Lorena","0,097344311"
3531704,"Monteiro Lobato","0,09127789"
3532306,"Natividade da Serra","0,309285714"
3535606,"Paraibuna","0,121369744"
3538006,"Pindamonhangaba","0,101067395"
3538501,"Piquete","0,088443396"
3540754,"Potim",0
3541901,"Queluz","0,270807062"
3542305,"Redenção da Serra","0,279642058"
3544301,"Roseira","0,456990754"
3546009,"Santa Branca","0,072330939"
3548203,"Santo Antônio do Pinhal","0,347609562"
3548609,"São Bento do Sapucaí","0,786255096"
3549607,"São José do Barreiro",0
3549904,"São José dos Campos","0,010028953"
3550001,"São Luís do Paraitinga","0,527515467"
3550704,"São Sebastião","0,068815004"
3552007,"Silveiras","0,827369743"
3554102,"Taubaté","0,00894122"
3554805,"Tremembé","0,05756476"
3555406,"Ubatuba","0,112583274"
