"geocode","Municipio","value"
3502507,"Aparecida",1
3503158,"Arapeí",0
3503505,"Areias",1
3504909,"Bananal",0
3508504,"Caçapava","0,008"
3508603,"Cachoeira Paulista",0
3509700,"Campos do Jordão",0
3509957,"Canas",0
3510500,"Caraguatatuba",0
3513405,"Cruzeiro",1
3513603,"Cunha","0,5213"
3518404,"Guaratinguetá","0,6941"
3520202,"Igaratá",0
3520400,"Ilhabela",0
3524402,"Jacareí","0,2458"
3524907,"Jambeiro",0
3526308,"Lagoinha",0
3526605,"Lavrinhas","0,221"
3527207,"Lorena",0
3531704,"Monteiro Lobato",0
3532306,"Natividade da Serra","0,9"
3535606,"Paraibuna",1
3538006,"Pindamonhangaba",0
3538501,"Piquete",1
3540754,"Potim",1
3541901,"Queluz","0,3473"
3542305,"Redenção da Serra",0
3544301,"Roseira",0
3546009,"Santa Branca","0,954"
3548203,"Santo Antônio do Pinhal",0
3548609,"São Bento do Sapucaí","0,1976"
3549607,"São José do Barreiro",1
3549904,"São José dos Campos","0,0002"
3550001,"São Luís do Paraitinga",0
3550704,"São Sebastião",0
3552007,"Silveiras",0
3554102,"Taubaté",0
3554805,"Tremembé",0
3555406,"Ubatuba","0,0018"
