"Cod_IBGE","Municipio","Sem_Acesso_Esgoto"
3502507,"Aparecida","0,014771713242096"
3503158,"Arapeí","0,601274827082806"
3503505,"Areias","0,52580895267962"
3504909,"Bananal","0,197271691790403"
3508504,"Caçapava","0,169906658603196"
3508603,"Cachoeira Paulista","0,119362206053902"
3509700,"Campos do Jordão","0,205348780046742"
3509957,"Canas","0,184272435235061"
3510500,"Caraguatatuba","0,148332189175799"
3513405,"Cruzeiro","0,021527424926524"
3513603,"Cunha","0,720747971571144"
3518404,"Guaratinguetá","0,101488054270732"
3520202,"Igaratá","0,206144126979652"
3520400,"Ilhabela",1
3524402,"Jacareí","0,039986580155763"
3524907,"Jambeiro","0,539020064533148"
3526308,"Lagoinha","0,499955865961686"
3526605,"Lavrinhas","0,284209472700853"
3527207,"Lorena","0,006071459132448"
3531704,"Monteiro Lobato","0,780411414541365"
3532306,"Natividade da Serra","0,476811006200861"
3535606,"Paraibuna","0,546235929585626"
3538006,"Pindamonhangaba","0,030480410386108"
3538501,"Piquete","0,335722698084782"
3540754,"Potim",0
3541901,"Queluz","0,398992216298778"
3542305,"Redenção da Serra","0,873078081797366"
3544301,"Roseira","0,09908355940688"
3546009,"Santa Branca","0,351967436749969"
3548203,"Santo Antônio do Pinhal","0,504908143952155"
3548609,"São Bento do Sapucaí","0,530212714472672"
3549607,"São José do Barreiro","0,363677818024147"
3549904,"São José dos Campos","0,050593690445162"
3550001,"São Luís do Paraitinga","0,520331614510721"
3550704,"São Sebastião","0,239419252330185"
3552007,"Silveiras","0,443741433536547"
3554102,"Taubaté","0,019187054797358"
3554805,"Tremembé","0,164036175541196"
3555406,"Ubatuba","0,56888073046386"
