geocode,Municipio,value
250010,Água Branca,0.58
250020,Aguiar,0.64
250030,Alagoa Grande,0.70
250040,Alagoa Nova,0.64
250050,Alagoinha,0.76
250053,Alcantil,0.68
250057,Algodão de Jandaíra,0.71
250060,Alhandra,0.51
250073,Amparo,0.61
250077,Aparecida,0.80
250080,Araçagi,0.68
250090,Arara,0.79
250100,Araruna,0.70
250110,Areia,0.61
250115,Areia de Baraúnas,0.50
250120,Areial,0.83
250130,Aroeiras,0.64
250135,Assunção,0.66
250140,Baía da Traição,0.58
250150,Bananeiras,0.62
250153,Baraúna,0.79
250160,Barra de Santa Rosa,0.77
250157,Barra de Santana,0.83
250170,Barra de São Miguel,0.83
250180,Bayeux,0.58
250190,Belém,0.70
250200,Belém do Brejo do Cruz,0.70
250205,Bernardino Batista,0.56
250210,Boa Ventura,0.71
250215,Boa Vista,0.49
250220,Bom Jesus,0.56
250230,Bom Sucesso,0.76
250240,Bonito de Santa Fé,0.66
250250,Boqueirão,0.62
250270,Borborema,0.75
250280,Brejo do Cruz,0.60
250290,Brejo dos Santos,0.61
250300,Caaporã,0.44
250310,Cabaceiras,0.64
250320,Cabedelo,0.53
250330,Cachoeira dos Índios,0.74
250340,Cacimba de Areia,0.60
250350,Cacimba de Dentro,0.72
250355,Cacimbas,0.60
250360,Caiçara,0.78
250370,Cajazeiras,0.44
250375,Cajazeirinhas,0.53
250380,Caldas Brandão,0.68
250390,Camalaú,0.69
250400,Campina Grande,0.27
250403,Capim,0.64
250407,Caraúbas,0.89
250410,Carrapateira,0.82
250415,Casserengue,0.75
250420,Catingueira,0.63
250430,Catolé do Rocha,0.62
250435,Caturité,0.65
250440,Conceição,0.60
250450,Condado,0.66
250460,Conde,0.51
250470,Congo,0.66
250480,Coremas,0.57
250485,Coxixola,1.00
250490,Cruz do Espírito Santo,0.66
250500,Cubati,0.74
250510,Cuité,0.61
250523,Cuité de Mamanguape,0.71
250520,Cuitegi,0.71
250527,Curral de Cima,0.62
250530,Curral Velho,0.58
250535,Damião,0.74
250540,Desterro,0.67
250560,Diamante,0.58
250570,Dona Inês,0.53
250580,Duas Estradas,0.79
250590,Emas,0.72
250600,Esperança,0.58
250610,Fagundes,0.73
250620,Frei Martinho,0.61
250625,Gado Bravo,0.69
250630,Guarabira,0.43
250640,Gurinhém,0.71
250650,Gurjão,0.64
250660,Ibiara,0.68
250260,Igaracy,0.79
250670,Imaculada,0.63
250680,Ingá,0.65
250690,Itabaiana,0.50
250700,Itaporanga,0.59
250710,Itapororoca,0.69
250720,Itatuba,0.69
250730,Jacaraú,0.70
250740,Jericó,0.72
250750,João Pessoa,0.00
251365,Joca Claudino,0.61
250760,Juarez Távora,0.69
250770,Juazeirinho,0.67
250780,Junco do Seridó,0.71
250790,Juripiranga,0.65
250800,Juru,0.66
250810,Lagoa,0.84
250820,Lagoa de Dentro,0.60
250830,Lagoa Seca,0.64
250840,Lastro,0.46
250850,Livramento,0.77
250855,Logradouro,0.76
250860,Lucena,0.53
250870,Mãe d'Água,0.75
250880,Malta,0.74
250890,Mamanguape,0.47
250900,Manaíra,0.71
250905,Marcação,0.63
250910,Mari,0.66
250915,Marizópolis,0.68
250920,Massaranduba,0.64
250930,Mataraca,0.64
250933,Matinhas,0.64
250937,Mato Grosso,0.61
250939,Maturéia,0.71
250940,Mogeiro,0.72
250950,Montadas,0.85
250960,Monte Horebe,0.74
250970,Monteiro,0.62
250980,Mulungu,0.73
250990,Natuba,0.65
251000,Nazarezinho,0.65
251010,Nova Floresta,0.72
251020,Nova Olinda,0.43
251030,Nova Palmeira,0.96
251040,Olho d'Água,0.65
251050,Olivedos,0.78
251060,Ouro Velho,0.60
251065,Parari,0.70
251070,Passagem,0.61
251080,Patos,0.42
251090,Paulista,0.57
251100,Pedra Branca,0.59
251110,Pedra Lavrada,0.67
251120,Pedras de Fogo,0.59
251272,Pedro Régis,0.82
251130,Piancó,0.23
251140,Picuí,0.52
251150,Pilar,0.60
251160,Pilões,0.57
251170,Pilõezinhos,0.67
251180,Pirpirituba,0.75
251190,Pitimbu,0.52
251200,Pocinhos,0.62
251203,Poço Dantas,0.56
251207,Poço de José de Moura,0.73
251210,Pombal,0.53
251220,Prata,0.79
251230,Princesa Isabel,0.43
251240,Puxinanã,0.72
251250,Queimadas,0.66
251260,Quixabá,0.86
251270,Remígio,0.73
251274,Riachão,0.66
251275,Riachão do Bacamarte,0.77
251276,Riachão do Poço,0.66
251278,Riacho de Santo Antônio,0.58
251280,Riacho dos Cavalos,0.78
251290,Rio Tinto,0.66
251300,Salgadinho,0.77
251310,Salgado de São Félix,0.82
251315,Santa Cecília,0.81
251320,Santa Cruz,0.80
251330,Santa Helena,0.80
251335,Santa Inês,0.51
251340,Santa Luzia,0.60
251370,Santa Rita,0.38
251380,Santa Teresinha,0.80
251350,Santana de Mangueira,0.58
251360,Santana dos Garrotes,0.70
251385,Santo André,0.56
251392,São Bentinho,0.71
251390,São Bento,0.59
251396,São Domingos,0.77
251394,São Domingos do Cariri,0.66
251398,São Francisco,0.90
251400,São João do Cariri,0.92
250070,São João do Rio do Peixe,0.67
251410,São João do Tigre,0.69
251420,São José da Lagoa Tapada,0.72
251430,São José de Caiana,0.62
251440,São José de Espinharas,0.83
251450,São José de Piranhas,0.72
251455,São José de Princesa,0.66
251460,São José do Bonfim,0.74
251465,São José do Brejo do Cruz,0.83
251470,São José do Sabugi,0.58
251480,São José dos Cordeiros,0.75
251445,São José dos Ramos,0.72
251490,São Mamede,0.56
251500,São Miguel de Taipu,0.62
251510,São Sebastião de Lagoa de Roça,0.77
251520,São Sebastião do Umbuzeiro,0.66
251540,São Vicente do Seridó,0.60
251530,Sapé,0.65
251550,Serra Branca,0.71
251560,Serra da Raiz,0.69
251570,Serra Grande,0.43
251580,Serra Redonda,0.67
251590,Serraria,0.66
251593,Sertãozinho,0.86
251597,Sobrado,0.66
251600,Solânea,0.70
251610,Soledade,0.59
251615,Sossêgo,0.83
251620,Sousa,0.51
251630,Sumé,0.68
251640,Tacima,0.79
251650,Taperoá,0.66
251660,Tavares,0.59
251670,Teixeira,0.64
251675,Tenório,0.63
251680,Triunfo,0.67
251690,Uiraúna,0.57
251700,Umbuzeiro,0.80
251710,Várzea,0.68
251720,Vieirópolis,0.77
250550,Vista Serrana,0.66
251740,Zabelê,0.90
