geocode,Municipio,value
250010,Água Branca,0.01
250020,Aguiar,0.00
250030,Alagoa Grande,0.25
250040,Alagoa Nova,0.19
250050,Alagoinha,0.36
250053,Alcantil,0.02
250057,Algodão de Jandaíra,0.01
250060,Alhandra,0.41
250073,Amparo,0.01
250077,Aparecida,0.13
250080,Araçagi,0.11
250090,Arara,0.19
250100,Araruna,0.12
250110,Areia,0.08
250115,Areia de Baraúnas,0.01
250120,Areial,0.06
250130,Aroeiras,0.08
250135,Assunção,0.12
250140,Baía da Traição,0.37
250150,Bananeiras,0.04
250153,Baraúna,0.04
250160,Barra de Santa Rosa,0.03
250157,Barra de Santana,0.17
250170,Barra de São Miguel,0.02
250180,Bayeux,0.29
250190,Belém,0.36
250200,Belém do Brejo do Cruz,0.02
250205,Bernardino Batista,0.03
250210,Boa Ventura,0.03
250215,Boa Vista,0.08
250220,Bom Jesus,0.29
250230,Bom Sucesso,0.01
250240,Bonito de Santa Fé,0.01
250250,Boqueirão,0.23
250270,Borborema,0.09
250280,Brejo do Cruz,0.12
250290,Brejo dos Santos,0.01
250300,Caaporã,0.32
250310,Cabaceiras,0.03
250320,Cabedelo,0.34
250330,Cachoeira dos Índios,0.22
250340,Cacimba de Areia,0.00
250350,Cacimba de Dentro,0.17
250355,Cacimbas,0.01
250360,Caiçara,0.33
250370,Cajazeiras,0.23
250375,Cajazeirinhas,0.01
250380,Caldas Brandão,0.19
250390,Camalaú,0.00
250400,Campina Grande,0.29
250403,Capim,0.24
250407,Caraúbas,0.02
250410,Carrapateira,0.15
250415,Casserengue,0.15
250420,Catingueira,0.08
250430,Catolé do Rocha,0.11
250435,Caturité,0.16
250440,Conceição,0.14
250450,Condado,0.16
250460,Conde,0.22
250470,Congo,0.09
250480,Coremas,0.07
250485,Coxixola,0.03
250490,Cruz do Espírito Santo,0.32
250500,Cubati,0.09
250510,Cuité,0.04
250523,Cuité de Mamanguape,0.15
250520,Cuitegi,0.25
250527,Curral de Cima,0.08
250530,Curral Velho,0.00
250535,Damião,0.34
250540,Desterro,0.07
250560,Diamante,0.32
250570,Dona Inês,0.05
250580,Duas Estradas,0.19
250590,Emas,0.29
250600,Esperança,0.14
250610,Fagundes,0.28
250620,Frei Martinho,0.01
250625,Gado Bravo,0.08
250630,Guarabira,0.38
250640,Gurinhém,0.12
250650,Gurjão,0.30
250660,Ibiara,0.10
250260,Igaracy,0.00
250670,Imaculada,0.01
250680,Ingá,0.32
250690,Itabaiana,0.31
250700,Itaporanga,0.17
250710,Itapororoca,0.18
250720,Itatuba,0.09
250730,Jacaraú,0.13
250740,Jericó,0.06
250750,João Pessoa,0.34
251365,Joca Claudino,0.01
250760,Juarez Távora,0.26
250770,Juazeirinho,0.09
250780,Junco do Seridó,0.21
250790,Juripiranga,0.33
250800,Juru,0.07
250810,Lagoa,0.00
250820,Lagoa de Dentro,0.09
250830,Lagoa Seca,0.19
250840,Lastro,0.01
250850,Livramento,0.07
250855,Logradouro,0.31
250860,Lucena,0.25
250870,Mãe d'Água,0.00
250880,Malta,0.13
250890,Mamanguape,0.25
250900,Manaíra,0.00
250905,Marcação,0.17
250910,Mari,0.23
250915,Marizópolis,0.01
250920,Massaranduba,0.18
250930,Mataraca,0.29
250933,Matinhas,0.13
250937,Mato Grosso,0.01
250939,Maturéia,0.08
250940,Mogeiro,0.07
250950,Montadas,0.07
250960,Monte Horebe,0.01
250970,Monteiro,0.16
250980,Mulungu,0.41
250990,Natuba,0.07
251000,Nazarezinho,0.14
251010,Nova Floresta,0.05
251020,Nova Olinda,0.00
251030,Nova Palmeira,0.02
251040,Olho d'Água,0.10
251050,Olivedos,0.19
251060,Ouro Velho,0.00
251065,Parari,0.01
251070,Passagem,0.01
251080,Patos,0.25
251090,Paulista,0.07
251100,Pedra Branca,0.03
251110,Pedra Lavrada,0.00
251120,Pedras de Fogo,0.32
251272,Pedro Régis,0.18
251130,Piancó,0.12
251140,Picuí,0.09
251150,Pilar,0.19
251160,Pilões,0.21
251170,Pilõezinhos,0.36
251180,Pirpirituba,0.25
251190,Pitimbu,0.26
251200,Pocinhos,0.03
251203,Poço Dantas,0.01
251207,Poço de José de Moura,0.09
251210,Pombal,0.06
251220,Prata,0.25
251230,Princesa Isabel,0.14
251240,Puxinanã,0.15
251250,Queimadas,0.18
251260,Quixabá,0.03
251270,Remígio,0.04
251274,Riachão,0.16
251275,Riachão do Bacamarte,0.17
251276,Riachão do Poço,0.22
251278,Riacho de Santo Antônio,0.02
251280,Riacho dos Cavalos,0.00
251290,Rio Tinto,0.28
251300,Salgadinho,0.02
251310,Salgado de São Félix,0.43
251315,Santa Cecília,0.00
251320,Santa Cruz,0.08
251330,Santa Helena,0.11
251335,Santa Inês,0.05
251340,Santa Luzia,0.11
251370,Santa Rita,1.00
251380,Santa Teresinha,0.18
251350,Santana de Mangueira,0.02
251360,Santana dos Garrotes,0.06
251385,Santo André,0.20
251392,São Bentinho,0.00
251390,São Bento,0.23
251396,São Domingos,0.03
251394,São Domingos do Cariri,0.41
251398,São Francisco,0.08
251400,São João do Cariri,0.35
250070,São João do Rio do Peixe,0.13
251410,São João do Tigre,0.17
251420,São José da Lagoa Tapada,0.05
251430,São José de Caiana,0.09
251440,São José de Espinharas,0.01
251450,São José de Piranhas,0.09
251455,São José de Princesa,0.10
251460,São José do Bonfim,0.14
251465,São José do Brejo do Cruz,0.05
251470,São José do Sabugi,0.01
251480,São José dos Cordeiros,0.04
251445,São José dos Ramos,0.07
251490,São Mamede,0.69
251500,São Miguel de Taipu,0.20
251510,São Sebastião de Lagoa de Roça,0.20
251520,São Sebastião do Umbuzeiro,0.67
251540,São Vicente do Seridó,0.06
251530,Sapé,0.26
251550,Serra Branca,0.20
251560,Serra da Raiz,0.04
251570,Serra Grande,0.03
251580,Serra Redonda,0.18
251590,Serraria,0.17
251593,Sertãozinho,0.21
251597,Sobrado,0.23
251600,Solânea,0.14
251610,Soledade,0.02
251615,Sossêgo,0.00
251620,Sousa,0.15
251630,Sumé,0.09
251640,Tacima,0.10
251650,Taperoá,0.04
251660,Tavares,0.07
251670,Teixeira,0.15
251675,Tenório,0.02
251680,Triunfo,0.06
251690,Uiraúna,0.06
251700,Umbuzeiro,0.07
251710,Várzea,0.01
251720,Vieirópolis,0.00
