"geocode","Municipio","value"
3502507,"Aparecida","0,426293184473318"
3503158,"Arapeí","0,458645698535596"
3503505,"Areias","0,679504450671451"
3504909,"Bananal","0,238902703769729"
3508504,"Caçapava","0,092530779212789"
3508603,"Cachoeira Paulista","0,122527592191079"
3509700,"Campos do Jordão","0,102582326865198"
3509957,"Canas","0,376066213105595"
3510500,"Caraguatatuba","0,10621286911017"
3513405,"Cruzeiro","0,436498757615622"
3513603,"Cunha",1
3518404,"Guaratinguetá","0,336458242013829"
3520202,"Igaratá","0,466761955477727"
3520400,"Ilhabela","0,66701941321979"
3524402,"Jacareí","0,138574778462107"
3524907,"Jambeiro","0,350995118195457"
3526308,"Lagoinha","0,645133514860834"
3526605,"Lavrinhas","0,404327694107451"
3527207,"Lorena","0,035281089386588"
3531704,"Monteiro Lobato","0,358214372345112"
3532306,"Natividade da Serra","0,719143256658995"
3535606,"Paraibuna","0,73113828944398"
3538006,"Pindamonhangaba","0,048675745742663"
3538501,"Piquete","0,619960448908246"
3540754,"Potim","0,426749796727834"
3541901,"Queluz","0,49179286832008"
3542305,"Redenção da Serra","0,543093319874724"
3544301,"Roseira","0,225458373445014"
3546009,"Santa Branca","0,613322317839167"
3548203,"Santo Antônio do Pinhal","0,364152867801068"
3548609,"São Bento do Sapucaí","0,650666494771805"
3549607,"São José do Barreiro","0,581154261250179"
3549904,"São José dos Campos","0,023907755521124"
3550001,"São Luís do Paraitinga","0,443717644067359"
3550704,"São Sebastião","0,332595524536121"
3552007,"Silveiras","0,551545523800582"
3554102,"Taubaté",0
3554805,"Tremembé","0,104153958347656"
3555406,"Ubatuba","0,708103354760747"
