"geocode","Municipio","value"
3502507,"Aparecida","0,464519531858254"
3503158,"Arapeí","0,527880204155685"
3503505,"Areias","0,831389648036454"
3504909,"Bananal","0,434004018526052"
3508504,"Caçapava","0,299607110333044"
3508603,"Cachoeira Paulista","0,457284241379942"
3509700,"Campos do Jordão","0,411450324661358"
3509957,"Canas","0,748193202510958"
3510500,"Caraguatatuba","0,18627892687368"
3513405,"Cruzeiro","0,416497529323015"
3513603,"Cunha","0,819014874919716"
3518404,"Guaratinguetá","0,37550366115342"
3520202,"Igaratá","0,633005016810972"
3520400,"Ilhabela","0,445069232353662"
3524402,"Jacareí","0,315214613040375"
3524907,"Jambeiro","0,483467345487324"
3526308,"Lagoinha","0,761155287579203"
3526605,"Lavrinhas","0,659238390802512"
3527207,"Lorena","0,253647667595935"
3531704,"Monteiro Lobato","0,67084651578771"
3532306,"Natividade da Serra","0,798133764572394"
3535606,"Paraibuna","0,728464458578692"
3538006,"Pindamonhangaba","0,299590589519341"
3538501,"Piquete","0,551148067340153"
3540754,"Potim","0,765959354934104"
3541901,"Queluz","0,562088213172577"
3542305,"Redenção da Serra","0,762497759502284"
3544301,"Roseira","0,48997952878825"
3546009,"Santa Branca","0,695273773448065"
3548203,"Santo Antônio do Pinhal","0,582462228743799"
3548609,"São Bento do Sapucaí","0,589332907801165"
3549607,"São José do Barreiro","0,717828333433978"
3549904,"São José dos Campos","0,199445719372143"
3550001,"São Luís do Paraitinga","0,627287399586835"
3550704,"São Sebastião","0,332292067942854"
3552007,"Silveiras","0,743740636955621"
3554102,"Taubaté","0,092619260152443"
3554805,"Tremembé","0,425619015349197"
3555406,"Ubatuba","0,613129808138002"
