geocode,Municipio,value
250010,Água Branca,0.27
250020,Aguiar,0.38
250030,Alagoa Grande,0.46
250040,Alagoa Nova,0.38
250050,Alagoinha,0.52
250053,Alcantil,0.40
250057,Algodão de Jandaíra,0.58
250060,Alhandra,0.11
250073,Amparo,0.38
250077,Aparecida,0.55
250080,Araçagi,0.44
250090,Arara,0.70
250100,Araruna,0.37
250110,Areia,0.35
250115,Areia de Baraúnas,0.22
250120,Areial,0.54
250130,Aroeiras,0.34
250135,Assunção,0.57
250140,Baía da Traição,0.15
250150,Bananeiras,0.30
250153,Baraúna,0.69
250160,Barra de Santa Rosa,0.58
250157,Barra de Santana,0.47
250170,Barra de São Miguel,0.70
250180,Bayeux,0.66
250190,Belém,0.66
250200,Belém do Brejo do Cruz,0.62
250205,Bernardino Batista,0.00
250210,Boa Ventura,0.55
250215,Boa Vista,0.23
250220,Bom Jesus,0.40
250230,Bom Sucesso,0.56
250240,Bonito de Santa Fé,0.40
250250,Boqueirão,0.43
250270,Borborema,0.64
250280,Brejo do Cruz,0.41
250290,Brejo dos Santos,0.56
250300,Caaporã,0.19
250310,Cabaceiras,0.41
250320,Cabedelo,0.49
250330,Cachoeira dos Índios,0.50
250340,Cacimba de Areia,0.34
250350,Cacimba de Dentro,0.51
250355,Cacimbas,0.00
250360,Caiçara,0.67
250370,Cajazeiras,0.25
250375,Cajazeirinhas,0.26
250380,Caldas Brandão,0.48
250390,Camalaú,0.47
250400,Campina Grande,0.16
250403,Capim,0.40
250407,Caraúbas,0.71
250410,Carrapateira,0.73
250415,Casserengue,0.52
250420,Catingueira,0.43
250430,Catolé do Rocha,0.40
250435,Caturité,0.32
250440,Conceição,0.38
250450,Condado,0.52
250460,Conde,0.22
250470,Congo,0.63
250480,Coremas,0.41
250485,Coxixola,1.00
250490,Cruz do Espírito Santo,0.23
250500,Cubati,0.55
250510,Cuité,0.50
250523,Cuité de Mamanguape,0.38
250520,Cuitegi,0.58
250527,Curral de Cima,0.24
250530,Curral Velho,0.46
250535,Damião,0.44
250540,Desterro,0.39
250560,Diamante,0.37
250570,Dona Inês,0.37
250580,Duas Estradas,0.75
250590,Emas,0.49
250600,Esperança,0.39
250610,Fagundes,0.45
250620,Frei Martinho,0.68
250625,Gado Bravo,0.19
250630,Guarabira,0.31
250640,Gurinhém,0.40
250650,Gurjão,0.47
250660,Ibiara,0.62
250260,Igaracy,0.55
250670,Imaculada,0.26
250680,Ingá,0.42
250690,Itabaiana,0.38
250700,Itaporanga,0.36
250710,Itapororoca,0.55
250720,Itatuba,0.43
250730,Jacaraú,0.51
250740,Jericó,0.50
250750,João Pessoa,0.29
251365,Joca Claudino,0.22
250760,Juarez Távora,0.59
250770,Juazeirinho,0.34
250780,Junco do Seridó,0.49
250790,Juripiranga,0.65
250800,Juru,0.29
250810,Lagoa,0.56
250820,Lagoa de Dentro,0.44
250830,Lagoa Seca,0.37
250840,Lastro,0.26
250850,Livramento,0.47
250855,Logradouro,0.50
250860,Lucena,0.25
250870,Mãe d'Água,0.29
250880,Malta,0.69
250890,Mamanguape,0.33
250900,Manaíra,0.55
250905,Marcação,0.08
250910,Mari,0.57
250915,Marizópolis,0.53
250920,Massaranduba,0.35
250930,Mataraca,0.39
250933,Matinhas,0.23
250937,Mato Grosso,0.23
250939,Maturéia,0.38
250940,Mogeiro,0.39
250950,Montadas,0.75
250960,Monte Horebe,0.39
250970,Monteiro,0.43
250980,Mulungu,0.46
250990,Natuba,0.31
251000,Nazarezinho,0.32
251010,Nova Floresta,0.67
251020,Nova Olinda,0.15
251030,Nova Palmeira,0.61
251040,Olho d'Água,0.47
251050,Olivedos,0.60
251060,Ouro Velho,0.50
251065,Parari,0.53
251070,Passagem,0.19
251080,Patos,0.35
251090,Paulista,0.33
251100,Pedra Branca,0.38
251110,Pedra Lavrada,0.42
251120,Pedras de Fogo,0.32
251272,Pedro Régis,0.42
251130,Piancó,0.17
251140,Picuí,0.36
251150,Pilar,0.48
251160,Pilões,0.24
251170,Pilõezinhos,0.40
251180,Pirpirituba,0.68
251190,Pitimbu,0.13
251200,Pocinhos,0.50
251203,Poço Dantas,0.04
251207,Poço de José de Moura,0.37
251210,Pombal,0.54
251220,Prata,0.63
251230,Princesa Isabel,0.23
251240,Puxinanã,0.27
251250,Queimadas,0.63
251260,Quixabá,0.29
251270,Remígio,0.59
251274,Riachão,0.40
251275,Riachão do Bacamarte,0.63
251276,Riachão do Poço,0.36
251278,Riacho de Santo Antônio,0.45
251280,Riacho dos Cavalos,0.36
251290,Rio Tinto,0.50
251300,Salgadinho,0.30
251310,Salgado de São Félix,0.76
251315,Santa Cecília,0.47
251320,Santa Cruz,0.65
251330,Santa Helena,0.82
251335,Santa Inês,0.02
251340,Santa Luzia,0.52
251370,Santa Rita,0.23
251380,Santa Teresinha,0.64
251350,Santana de Mangueira,0.11
251360,Santana dos Garrotes,0.40
251385,Santo André,0.45
251392,São Bentinho,0.54
251390,São Bento,0.32
251396,São Domingos,0.54
251394,São Domingos do Cariri,0.53
251398,São Francisco,0.69
251400,São João do Cariri,0.67
250070,São João do Rio do Peixe,0.39
251410,São João do Tigre,0.49
251420,São José da Lagoa Tapada,0.40
251430,São José de Caiana,0.28
251440,São José de Espinharas,0.74
251450,São José de Piranhas,0.50
251455,São José de Princesa,0.30
251460,São José do Bonfim,0.41
251465,São José do Brejo do Cruz,0.54
251470,São José do Sabugi,0.53
251480,São José dos Cordeiros,0.55
251445,São José dos Ramos,0.41
251490,São Mamede,0.61
251500,São Miguel de Taipu,0.26
251510,São Sebastião de Lagoa de Roça,0.45
251520,São Sebastião do Umbuzeiro,0.56
251540,São Vicente do Seridó,0.20
251530,Sapé,0.64
251550,Serra Branca,0.62
251560,Serra da Raiz,0.59
251570,Serra Grande,0.31
251580,Serra Redonda,0.37
251590,Serraria,0.49
251593,Sertãozinho,0.76
251597,Sobrado,0.19
251600,Solânea,0.48
251610,Soledade,0.43
251615,Sossêgo,0.48
251620,Sousa,0.31
251630,Sumé,0.63
251640,Tacima,0.53
251650,Taperoá,0.46
251660,Tavares,0.31
251670,Teixeira,0.34
251675,Tenório,0.54
251680,Triunfo,0.43
251690,Uiraúna,0.42
251700,Umbuzeiro,0.43
251710,Várzea,0.77
251720,Vieirópolis,0.55
250550,Vista Serrana,0.50
251740,Zabelê,0.78
