geocode,Municipio,value
250010,Água Branca,0.19
250020,Aguiar,0.13
250030,Alagoa Grande,0.39
250040,Alagoa Nova,0.27
250050,Alagoinha,0.32
250053,Alcantil,0.12
250057,Algodão de Jandaíra,0.16
250060,Alhandra,0.77
250073,Amparo,0.00
250077,Aparecida,0.10
250080,Araçagi,0.22
250090,Arara,0.30
250100,Araruna,0.32
250110,Areia,0.20
250115,Areia de Baraúnas,0.07
250120,Areial,0.08
250130,Aroeiras,0.19
250135,Assunção,0.14
250140,Baía da Traição,0.51
250150,Bananeiras,0.09
250153,Baraúna,0.16
250160,Barra de Santa Rosa,0.59
250157,Barra de Santana,0.25
250170,Barra de São Miguel,0.07
250180,Bayeux,0.57
250190,Belém,0.36
250200,Belém do Brejo do Cruz,0.08
250205,Bernardino Batista,0.19
250210,Boa Ventura,0.06
250215,Boa Vista,0.29
250220,Bom Jesus,0.19
250230,Bom Sucesso,0.00
250240,Bonito de Santa Fé,0.33
250250,Boqueirão,0.32
250270,Borborema,0.12
250280,Brejo do Cruz,0.28
250290,Brejo dos Santos,0.31
250300,Caaporã,0.25
250310,Cabaceiras,0.11
250320,Cabedelo,0.51
250330,Cachoeira dos Índios,0.35
250340,Cacimba de Areia,0.18
250350,Cacimba de Dentro,0.59
250355,Cacimbas,0.15
250360,Caiçara,0.44
250370,Cajazeiras,0.59
250375,Cajazeirinhas,0.11
250380,Caldas Brandão,0.16
250390,Camalaú,0.29
250400,Campina Grande,0.35
250403,Capim,0.27
250407,Caraúbas,0.21
250410,Carrapateira,0.10
250415,Casserengue,0.26
250420,Catingueira,0.24
250430,Catolé do Rocha,0.46
250435,Caturité,0.21
250440,Conceição,0.14
250450,Condado,0.27
250460,Conde,0.30
250470,Congo,0.23
250480,Coremas,0.14
250485,Coxixola,0.22
250490,Cruz do Espírito Santo,0.52
250500,Cubati,0.12
250510,Cuité,0.22
250523,Cuité de Mamanguape,0.22
250520,Cuitegi,0.29
250527,Curral de Cima,0.28
250530,Curral Velho,0.30
250535,Damião,0.25
250540,Desterro,0.26
250560,Diamante,0.38
250570,Dona Inês,0.06
250580,Duas Estradas,0.32
250590,Emas,0.48
250600,Esperança,0.38
250610,Fagundes,0.48
250620,Frei Martinho,0.15
250625,Gado Bravo,0.07
250630,Guarabira,0.43
250640,Gurinhém,0.22
250650,Gurjão,0.33
250660,Ibiara,0.07
250260,Igaracy,0.48
250670,Imaculada,0.13
250680,Ingá,0.36
250690,Itabaiana,0.43
250700,Itaporanga,0.24
250710,Itapororoca,0.30
250720,Itatuba,0.20
250730,Jacaraú,0.11
250740,Jericó,0.33
250750,João Pessoa,0.48
251365,Joca Claudino,0.12
250760,Juarez Távora,0.51
250770,Juazeirinho,0.19
250780,Junco do Seridó,0.28
250790,Juripiranga,0.34
250800,Juru,0.06
250810,Lagoa,0.17
250820,Lagoa de Dentro,0.14
250830,Lagoa Seca,0.45
250840,Lastro,0.02
250850,Livramento,0.22
250855,Logradouro,0.79
250860,Lucena,0.42
250870,Mãe d'Água,0.08
250880,Malta,0.30
250890,Mamanguape,0.50
250900,Manaíra,0.34
250905,Marcação,0.23
250910,Mari,0.29
250915,Marizópolis,0.19
250920,Massaranduba,0.16
250930,Mataraca,0.30
250933,Matinhas,0.33
250937,Mato Grosso,0.04
250939,Maturéia,0.13
250940,Mogeiro,0.10
250950,Montadas,0.06
250960,Monte Horebe,0.22
250970,Monteiro,0.34
250980,Mulungu,0.38
250990,Natuba,0.17
251000,Nazarezinho,0.20
251010,Nova Floresta,0.27
251020,Nova Olinda,0.46
251030,Nova Palmeira,0.01
251040,Olho d'Água,0.31
251050,Olivedos,0.25
251060,Ouro Velho,0.35
251065,Parari,0.86
251070,Passagem,0.53
251080,Patos,0.44
251090,Paulista,0.21
251100,Pedra Branca,0.10
251110,Pedra Lavrada,0.16
251120,Pedras de Fogo,0.32
251272,Pedro Régis,0.25
251130,Piancó,0.42
251140,Picuí,0.14
251150,Pilar,0.24
251160,Pilões,0.22
251170,Pilõezinhos,0.37
251180,Pirpirituba,0.48
251190,Pitimbu,0.20
251200,Pocinhos,0.16
251203,Poço Dantas,0.34
251207,Poço de José de Moura,0.06
251210,Pombal,0.23
251220,Prata,0.80
251230,Princesa Isabel,0.28
251240,Puxinanã,0.46
251250,Queimadas,0.19
251260,Quixabá,0.38
251270,Remígio,0.29
251274,Riachão,0.29
251275,Riachão do Bacamarte,0.12
251276,Riachão do Poço,0.17
251278,Riacho de Santo Antônio,0.16
251280,Riacho dos Cavalos,0.07
251290,Rio Tinto,0.22
251300,Salgadinho,0.17
251310,Salgado de São Félix,0.60
251315,Santa Cecília,0.12
251320,Santa Cruz,0.25
251330,Santa Helena,0.25
251335,Santa Inês,0.30
251340,Santa Luzia,0.52
251370,Santa Rita,0.81
251380,Santa Teresinha,0.25
251350,Santana de Mangueira,0.17
251360,Santana dos Garrotes,0.17
251385,Santo André,0.19
251392,São Bentinho,0.25
251390,São Bento,0.30
251396,São Domingos,0.14
251394,São Domingos do Cariri,0.30
251398,São Francisco,0.11
251400,São João do Cariri,0.53
250070,São João do Rio do Peixe,0.12
251410,São João do Tigre,0.32
251420,São José da Lagoa Tapada,0.05
251430,São José de Caiana,0.23
251440,São José de Espinharas,0.13
251450,São José de Piranhas,0.11
251455,São José de Princesa,0.20
251460,São José do Bonfim,0.18
251465,São José do Brejo do Cruz,0.13
251470,São José do Sabugi,0.68
251480,São José dos Cordeiros,0.23
251445,São José dos Ramos,0.06
251490,São Mamede,0.58
251500,São Miguel de Taipu,1.00
251510,São Sebastião de Lagoa de Roça,0.26
251520,São Sebastião do Umbuzeiro,0.75
251540,São Vicente do Seridó,0.14
251530,Sapé,0.23
251550,Serra Branca,0.23
251560,Serra da Raiz,0.17
251570,Serra Grande,0.52
251580,Serra Redonda,0.17
251590,Serraria,0.26
251593,Sertãozinho,0.47
251597,Sobrado,0.29
251600,Solânea,0.11
251610,Soledade,0.11
251615,Sossêgo,0.00
251620,Sousa,0.14
251630,Sumé,0.21
251640,Tacima,0.36
251650,Taperoá,0.05
251660,Tavares,0.19
251670,Teixeira,0.27
251675,Tenório,0.14
251680,Triunfo,0.24
251690,Uiraúna,0.88
251700,Umbuzeiro,0.32
251710,Várzea,0.14
251720,Vieirópolis,0.29
250550,Vista Serrana,0.26
251740,Zabelê,0.66
