geocode,Municipio,value
250010,Água Branca,0.24
250020,Aguiar,0.28
250030,Alagoa Grande,0.54
250040,Alagoa Nova,0.39
250050,Alagoinha,0.53
250053,Alcantil,0.28
250057,Algodão de Jandaíra,0.46
250060,Alhandra,0.56
250073,Amparo,0.18
250077,Aparecida,0.39
250080,Araçagi,0.39
250090,Arara,0.66
250100,Araruna,0.42
250110,Areia,0.31
250115,Areia de Baraúnas,0.10
250120,Areial,0.36
250130,Aroeiras,0.29
250135,Assunção,0.43
250140,Baía da Traição,0.39
250150,Bananeiras,0.19
250153,Baraúna,0.54
250160,Barra de Santa Rosa,0.79
250157,Barra de Santana,0.44
250170,Barra de São Miguel,0.47
250180,Bayeux,0.84
250190,Belém,0.67
250200,Belém do Brejo do Cruz,0.43
250205,Bernardino Batista,0.02
250210,Boa Ventura,0.36
250215,Boa Vista,0.28
250220,Bom Jesus,0.34
250230,Bom Sucesso,0.31
250240,Bonito de Santa Fé,0.44
250250,Boqueirão,0.47
250270,Borborema,0.47
250280,Brejo do Cruz,0.42
250290,Brejo dos Santos,0.55
250300,Caaporã,0.22
250310,Cabaceiras,0.29
250320,Cabedelo,0.65
250330,Cachoeira dos Índios,0.54
250340,Cacimba de Areia,0.28
250350,Cacimba de Dentro,0.74
250355,Cacimbas,0.00
250360,Caiçara,0.75
250370,Cajazeiras,0.53
250375,Cajazeirinhas,0.17
250380,Caldas Brandão,0.37
250390,Camalaú,0.47
250400,Campina Grande,0.28
250403,Capim,0.40
250407,Caraúbas,0.59
250410,Carrapateira,0.53
250415,Casserengue,0.49
250420,Catingueira,0.40
250430,Catolé do Rocha,0.55
250435,Caturité,0.29
250440,Conceição,0.28
250450,Condado,0.49
250460,Conde,0.28
250470,Congo,0.55
250480,Coremas,0.31
250485,Coxixola,0.83
250490,Cruz do Espírito Santo,0.47
250500,Cubati,0.39
250510,Cuité,0.44
250523,Cuité de Mamanguape,0.34
250520,Cuitegi,0.55
250527,Curral de Cima,0.28
250530,Curral Velho,0.46
250535,Damião,0.42
250540,Desterro,0.39
250560,Diamante,0.46
250570,Dona Inês,0.21
250580,Duas Estradas,0.71
250590,Emas,0.63
250600,Esperança,0.47
250610,Fagundes,0.60
250620,Frei Martinho,0.52
250625,Gado Bravo,0.08
250630,Guarabira,0.45
250640,Gurinhém,0.36
250650,Gurjão,0.51
250660,Ibiara,0.42
250260,Igaracy,0.67
250670,Imaculada,0.19
250680,Ingá,0.48
250690,Itabaiana,0.50
250700,Itaporanga,0.35
250710,Itapororoca,0.53
250720,Itatuba,0.37
250730,Jacaraú,0.37
250740,Jericó,0.53
250750,João Pessoa,0.48
251365,Joca Claudino,0.14
250760,Juarez Távora,0.73
250770,Juazeirinho,0.29
250780,Junco do Seridó,0.48
250790,Juripiranga,0.65
250800,Juru,0.15
250810,Lagoa,0.45
250820,Lagoa de Dentro,0.33
250830,Lagoa Seca,0.52
