geocode,Municipio,value
250010,Água Branca,0.74
250020,Aguiar,0.55
250030,Alagoa Grande,0.88
250040,Alagoa Nova,0.92
250050,Alagoinha,0.94
250053,Alcantil,0.78
250057,Algodão de Jandaíra,0.94
250060,Alhandra,0.71
250073,Amparo,0.59
250077,Aparecida,0.95
250080,Araçagi,0.93
250090,Arara,0.81
250100,Araruna,0.80
250110,Areia,0.80
250115,Areia de Baraúnas,0.82
250120,Areial,1.00
250130,Aroeiras,0.84
250135,Assunção,0.71
250140,Baía da Traição,0.61
250150,Bananeiras,0.84
250153,Baraúna,0.78
250160,Barra de Santa Rosa,0.82
250157,Barra de Santana,0.88
250170,Barra de São Miguel,0.99
250180,Bayeux,0.91
250190,Belém,0.72
250200,Belém do Brejo do Cruz,0.73
250205,Bernardino Batista,0.66
250210,Boa Ventura,0.73
250215,Boa Vista,0.74
250220,Bom Jesus,0.65
250230,Bom Sucesso,0.63
250240,Bonito de Santa Fé,0.80
250250,Boqueirão,0.75
250270,Borborema,0.94
250280,Brejo do Cruz,0.81
250290,Brejo dos Santos,0.96
250300,Caaporã,0.83
250310,Cabaceiras,0.72
250320,Cabedelo,0.73
250330,Cachoeira dos Índios,0.92
250340,Cacimba de Areia,0.73
250350,Cacimba de Dentro,0.89
250355,Cacimbas,0.87
250360,Caiçara,0.87
250370,Cajazeiras,0.54
250375,Cajazeirinhas,0.62
250380,Caldas Brandão,0.80
250390,Camalaú,0.83
250400,Campina Grande,0.64
250403,Capim,0.83
250407,Caraúbas,0.81
250410,Carrapateira,0.94
250415,Casserengue,0.93
250420,Catingueira,0.63
250430,Catolé do Rocha,0.72
250435,Caturité,0.81
250440,Conceição,0.73
250450,Condado,0.83
250460,Conde,0.85
250470,Congo,0.77
250480,Coremas,0.80
250485,Coxixola,0.89
250490,Cruz do Espírito Santo,0.91
250500,Cubati,0.91
250510,Cuité,0.68
250523,Cuité de Mamanguape,0.82
250520,Cuitegi,0.89
250527,Curral de Cima,0.83
250530,Curral Velho,0.78
250535,Damião,0.70
250540,Desterro,0.88
250560,Diamante,0.77
250570,Dona Inês,0.88
250580,Duas Estradas,0.77
250590,Emas,0.97
250600,Esperança,0.82
250610,Fagundes,0.91
250620,Frei Martinho,0.65
250625,Gado Bravo,0.90
250630,Guarabira,0.67
250640,Gurinhém,0.86
250650,Gurjão,0.60
250660,Ibiara,0.70
250260,Igaracy,0.81
250670,Imaculada,0.86
250680,Ingá,0.71
250690,Itabaiana,0.62
250700,Itaporanga,0.67
250710,Itapororoca,0.92
250720,Itatuba,0.93
250730,Jacaraú,0.87
250740,Jericó,0.91
250750,João Pessoa,0.58
251365,Joca Claudino,0.66
250760,Juarez Távora,0.85
250770,Juazeirinho,0.84
250780,Junco do Seridó,0.85
250790,Juripiranga,0.79
250800,Juru,0.81
250810,Lagoa,1.00
250820,Lagoa de Dentro,0.68
250830,Lagoa Seca,0.94
250840,Lastro,0.54
250850,Livramento,0.82
250855,Logradouro,0.83
250860,Lucena,0.81
250870,Mãe d'Água,0.89
250880,Malta,0.92
250890,Mamanguape,0.61
250900,Manaíra,0.76
250905,Marcação,0.80
250910,Mari,0.86
250915,Marizópolis,0.97
250920,Massaranduba,0.92
250930,Mataraca,0.69
250933,Matinhas,0.96
250937,Mato Grosso,0.89
250939,Maturéia,0.94
250940,Mogeiro,0.83
250950,Montadas,0.95
250960,Monte Horebe,0.93
250970,Monteiro,0.50
250980,Mulungu,0.95
250990,Natuba,0.85
251000,Nazarezinho,0.83
251010,Nova Floresta,0.89
251020,Nova Olinda,0.77
251030,Nova Palmeira,0.78
251040,Olho d'Água,0.96
251050,Olivedos,0.94
251060,Ouro Velho,0.65
251065,Parari,0.87
251070,Passagem,0.56
251080,Patos,0.55
251090,Paulista,0.82
251100,Pedra Branca,0.84
251110,Pedra Lavrada,0.73
251120,Pedras de Fogo,0.83
251272,Pedro Régis,0.90
251130,Piancó,0.00
251140,Picuí,0.71
251150,Pilar,0.80
251160,Pilões,0.88
251170,Pilõezinhos,0.97
251180,Pirpirituba,0.96
251190,Pitimbu,0.89
251200,Pocinhos,0.79
251203,Poço Dantas,0.94
251207,Poço de José de Moura,0.87
251210,Pombal,0.52
251220,Prata,0.82
251230,Princesa Isabel,0.49
251240,Puxinanã,0.95
251250,Queimadas,0.83
251260,Quixabá,0.90
251270,Remígio,0.78
251274,Riachão,0.72
251275,Riachão do Bacamarte,0.88
251276,Riachão do Poço,1.00
251278,Riacho de Santo Antônio,0.25
251280,Riacho dos Cavalos,0.78
251290,Rio Tinto,0.79
251300,Salgadinho,0.85
251310,Salgado de São Félix,0.93
251315,Santa Cecília,0.91
251320,Santa Cruz,0.77
251330,Santa Helena,0.79
251335,Santa Inês,0.82
251340,Santa Luzia,0.64
251370,Santa Rita,0.68
251380,Santa Teresinha,0.63
251350,Santana de Mangueira,0.86
251360,Santana dos Garrotes,0.81
251385,Santo André,0.49
251392,São Bentinho,0.92
251390,São Bento,0.78
251396,São Domingos,0.96
251394,São Domingos do Cariri,0.80
251398,São Francisco,0.91
251400,São João do Cariri,0.64
250070,São João do Rio do Peixe,0.82
251410,São João do Tigre,0.83
251420,São José da Lagoa Tapada,0.74
251430,São José de Caiana,0.88
251440,São José de Espinharas,0.72
251450,São José de Piranhas,0.84
251455,São José de Princesa,0.89
251460,São José do Bonfim,0.87
251465,São José do Brejo do Cruz,0.77
251470,São José do Sabugi,0.45
251480,São José dos Cordeiros,0.98
251445,São José dos Ramos,0.89
251490,São Mamede,0.60
251500,São Miguel de Taipu,0.83
251510,São Sebastião de Lagoa de Roça,0.84
251520,São Sebastião do Umbuzeiro,0.76
251540,São Vicente do Seridó,0.81
251530,Sapé,0.81
251550,Serra Branca,0.88
251560,Serra da Raiz,0.90
251570,Serra Grande,0.57
251580,Serra Redonda,0.74
251590,Serraria,0.59
251593,Sertãozinho,0.90
251597,Sobrado,0.94
251600,Solânea,0.87
