geocode;Municipio;value
250010;Água Branca;0,73
250020;Aguiar;0,52
250030;Alagoa Grande;0,83
250040;Alagoa Nova;0,87
250050;Alagoinha;0,81
250053;Alcantil;0,68
250057;Algodão de Jandaíra;0,89
250060;Alhandra;0,66
250073;Amparo;0,87
250077;Aparecida;0,76
250080;Araçagi;0,88
250090;Arara;0,83
250100;Araruna;0,82
250110;Areia;0,82
250115;Areia de Baraúnas;0,51
250120;Areial;0,87
250130;Aroeiras;0,81
250135;Assunção;0,9
250140;Baía da Traição;0,84
250150;Bananeiras;0,75
250153;Baraúna;0,93
250160;Barra de Santa Rosa;0,96
250157;Barra de Santana;0,91
250170;Barra de São Miguel;0,96
250180;Bayeux;0,78
250190;Belém;0,59
250200;Belém do Brejo do Cruz;0,72
250205;Bernardino Batista;0,81
250210;Boa Ventura;0,72
250215;Boa Vista;0,88
250220;Bom Jesus;0,89
250230;Bom Sucesso;0,74
250240;Bonito de Santa Fé;0,74
250250;Boqueirão;0,8
250270;Borborema;0,85
250280;Brejo do Cruz;0,79
250290;Brejo dos Santos;0,93
250300;Caaporã;0,73
250310;Cabaceiras;0,61
250320;Cabedelo;0,7
250330;Cachoeira dos Índios;0,82
250340;Cacimba de Areia;0,75
250350;Cacimba de Dentro;0,9
250355;Cacimbas;0,71
250360;Caiçara;0,84
250370;Cajazeiras;0,24
250375;Cajazeirinhas;0,4
250380;Caldas Brandão;0,64
250390;Camalaú;1
250400;Campina Grande;0,21
250403;Capim;0,9
250407;Caraúbas;0,96
250410;Carrapateira;0,9
250415;Casserengue;0,85
250420;Catingueira;0,64
250430;Catolé do Rocha;0,61
250435;Caturité;0,88
250440;Conceição;0,79
250450;Condado;0,75
250460;Conde;0,9
250470;Congo;0,83
250480;Coremas;0,5
250485;Coxixola;0,83
250490;Cruz do Espírito Santo;0,89
250500;Cubati;0,89
250510;Cuité;0,7
250523;Cuité de Mamanguape;0,85
250520;Cuitegi;0,83
250527;Curral de Cima;0,76
250530;Curral Velho;0,89
250535;Damião;0,99
250540;Desterro;0,85
250560;Diamante;0,89
250570;Dona Inês;0,71
250580;Duas Estradas;0,61
250590;Emas;0,94
250600;Esperança;0,6
250610;Fagundes;0,91
250620;Frei Martinho;0,92
250625;Gado Bravo;0,85
250630;Guarabira;0,27
250640;Gurinhém;0,86
250650;Gurjão;0,87
250660;Ibiara;0,75
250260;Igaracy;0,84
250670;Imaculada;0,84
250680;Ingá;0,79
250690;Itabaiana;0,49
250700;Itaporanga;0,61
250710;Itapororoca;0,85
250720;Itatuba;0,95
250730;Jacaraú;0,81
250740;Jericó;0,89
250750;João Pessoa;0,06
251365;Joca Claudino;0,99
250760;Juarez Távora;0,9
250770;Juazeirinho;0,85
250780;Junco do Seridó;0,95
250790;Juripiranga;0,81
250800;Juru;0,71
250810;Lagoa;0,98
250820;Lagoa de Dentro;0,62
250830;Lagoa Seca;0,73
250840;Lastro;0,37
250850;Livramento;0,98
250855;Logradouro;0,59
250860;Lucena;0,84
250870;Mãe d'Água;0,78
250880;Malta;0,91
250890;Mamanguape;0,56
250900;Manaíra;0,84
250905;Marcação;0,83
250910;Mari;0,74
250915;Marizópolis;0,94
250920;Massaranduba;0,73
250930;Mataraca;0,85
250933;Matinhas;0,86
250937;Mato Grosso;0,83
250939;Maturéia;0,86
250940;Mogeiro;0,9
250950;Montadas;0,91
250960;Monte Horebe;0,98
250970;Monteiro;0,33
250980;Mulungu;0,79
250990;Natuba;0,87
251000;Nazarezinho;0,88
251010;Nova Floresta;0,94
251020;Nova Olinda;0,83
251030;Nova Palmeira;0,89
251040;Olho d'Água;0,85
251050;Olivedos;0,77
251060;Ouro Velho;0,6
251065;Parari;0,94
251070;Passagem;0,79
251080;Patos;0,43
251090;Paulista;0,76
251100;Pedra Branca;0,76
251110;Pedra Lavrada;0,84
251120;Pedras de Fogo;0,84
251272;Pedro Régis;0,92
251130;Piancó;0
251140;Picuí;0,37
251150;Pilar;0,78
251160;Pilões;0,86
251170;Pilõezinhos;0,84
251180;Pirpirituba;0,94
251190;Pitimbu;0,87
251200;Pocinhos;0,75
251203;Poço Dantas;0,71
251207;Poço de José de Moura;0,97
251210;Pombal;0,58
251220;Prata;0,69
251230;Princesa Isabel;0,48
251240;Puxinanã;0,87
