geocode,Municipio,value
250010,Água Branca,0.13
250020,Aguiar,0.31
250030,Alagoa Grande,0.19
250040,Alagoa Nova,0.05
250050,Alagoinha,0.31
250053,Alcantil,0.32
250057,Algodão de Jandaíra,0.00
250060,Alhandra,0.12
250073,Amparo,0.00
250077,Aparecida,0.31
250080,Araçagi,0.15
250090,Arara,0.13
250100,Araruna,0.19
250110,Areia,0.20
250115,Areia de Baraúnas,0.00
250120,Areial,0.35
250130,Aroeiras,0.26
250135,Assunção,0.20
250140,Baía da Traição,0.10
250150,Bananeiras,0.21
250153,Baraúna,0.28
250160,Barra de Santa Rosa,0.25
250157,Barra de Santana,0.42
250170,Barra de São Miguel,0.35
250180,Bayeux,0.21
250190,Belém,0.23
250200,Belém do Brejo do Cruz,0.73
250205,Bernardino Batista,0.00
250210,Boa Ventura,0.53
250215,Boa Vista,0.15
250220,Bom Jesus,0.00
250230,Bom Sucesso,0.67
250240,Bonito de Santa Fé,0.39
250250,Boqueirão,0.13
250270,Borborema,0.22
250280,Brejo do Cruz,0.10
250290,Brejo dos Santos,0.00
250300,Caaporã,0.09
250310,Cabaceiras,0.00
250320,Cabedelo,0.29
250330,Cachoeira dos Índios,0.13
250340,Cacimba de Areia,0.25
250350,Cacimba de Dentro,0.08
250355,Cacimbas,0.10
250360,Caiçara,0.35
250370,Cajazeiras,0.24
250375,Cajazeirinhas,0.00
250380,Caldas Brandão,0.16
250390,Camalaú,0.00
250400,Campina Grande,0.20
250403,Capim,0.25
250407,Caraúbas,0.56
250410,Carrapateira,0.92
250415,Casserengue,0.18
250420,Catingueira,0.48
250430,Catolé do Rocha,0.40
250435,Caturité,0.20
250440,Conceição,0.26
250450,Condado,0.00
250460,Conde,0.47
250470,Congo,0.00
250480,Coremas,0.31
250485,Coxixola,0.85
250490,Cruz do Espírito Santo,0.34
250500,Cubati,0.41
250510,Cuité,0.07
250523,Cuité de Mamanguape,0.34
250520,Cuitegi,0.14
250527,Curral de Cima,0.00
250530,Curral Velho,0.00
250535,Damião,0.31
250540,Desterro,0.14
250560,Diamante,0.00
250570,Dona Inês,0.00
250580,Duas Estradas,0.40
250590,Emas,0.33
250600,Esperança,0.14
250610,Fagundes,0.18
250620,Frei Martinho,0.00
250625,Gado Bravo,0.41
250630,Guarabira,0.17
250640,Gurinhém,0.18
250650,Gurjão,0.00
250660,Ibiara,0.23
250260,Igaracy,0.69
250670,Imaculada,0.20
250680,Ingá,0.00
250690,Itabaiana,0.10
250700,Itaporanga,0.43
250710,Itapororoca,0.12
250720,Itatuba,0.11
250730,Jacaraú,0.08
250740,Jericó,0.17
250750,João Pessoa,0.18
251365,Joca Claudino,0.00
250760,Juarez Távora,0.00
250770,Juazeirinho,0.21
250780,Junco do Seridó,0.17
250790,Juripiranga,0.09
250800,Juru,0.45
250810,Lagoa,0.51
250820,Lagoa de Dentro,0.00
250830,Lagoa Seca,0.21
250840,Lastro,0.00
250850,Livramento,0.34
250855,Logradouro,0.37
250860,Lucena,0.15
250870,Mãe d'Água,0.39
250880,Malta,0.00
250890,Mamanguape,0.20
250900,Manaíra,0.40
250905,Marcação,0.17
250910,Mari,0.06
250915,Marizópolis,0.00
250920,Massaranduba,0.33
250930,Mataraca,0.52
250933,Matinhas,0.00
250937,Mato Grosso,0.00
250939,Maturéia,0.15
250940,Mogeiro,0.24
250950,Montadas,0.41
250960,Monte Horebe,0.00
250970,Monteiro,0.55
250980,Mulungu,0.24
250990,Natuba,0.17
251000,Nazarezinho,0.00
251010,Nova Floresta,0.14
251020,Nova Olinda,0.00
251030,Nova Palmeira,0.89
251040,Olho d'Água,0.18
251050,Olivedos,0.35
251060,Ouro Velho,0.00
251065,Parari,0.00
251070,Passagem,0.00
251080,Patos,0.10
251090,Paulista,0.00
251100,Pedra Branca,0.00
251110,Pedra Lavrada,0.22
251120,Pedras de Fogo,0.14
251272,Pedro Régis,0.25
251130,Piancó,0.09
251140,Picuí,0.25
251150,Pilar,0.09
251160,Pilões,0.23
251170,Pilõezinhos,0.15
251180,Pirpirituba,0.00
251190,Pitimbu,0.06
251200,Pocinhos,0.19
251203,Poço Dantas,0.00
251207,Poço de José de Moura,0.00
251210,Pombal,0.14
251220,Prata,0.39
251230,Princesa Isabel,0.17
251240,Puxinanã,0.26
251250,Queimadas,0.26
251260,Quixabá,0.71
251270,Remígio,0.12
251274,Riachão,0.00
251275,Riachão do Bacamarte,0.27
251276,Riachão do Poço,0.00
251278,Riacho de Santo Antônio,0.50
251280,Riacho dos Cavalos,0.77
251290,Rio Tinto,0.05
251300,Salgadinho,0.33
251310,Salgado de São Félix,0.23
251315,Santa Cecília,0.51
251320,Santa Cruz,0.41
251330,Santa Helena,0.25
251335,Santa Inês,0.00
251340,Santa Luzia,0.17
251370,Santa Rita,0.22
251380,Santa Teresinha,0.69
251350,Santana de Mangueira,0.00
251360,Santana dos Garrotes,0.17
251385,Santo André,0.00
251392,São Bentinho,0.00
251390,São Bento,0.24
251396,São Domingos,0.00
251394,São Domingos do Cariri,0.00
251398,São Francisco,0.65
251400,São João do Cariri,1.00
250070,São João do Rio do Peixe,0.08
251410,São João do Tigre,0.00
251420,São José da Lagoa Tapada,0.17
251430,São José de Caiana,0.29
251440,São José de Espinharas,0.69
251450,São José de Piranhas,0.30
251455,São José de Princesa,0.00
251460,São José do Bonfim,0.32
251465,São José do Brejo do Cruz,0.94
251470,São José do Sabugi,0.00
251480,São José dos Cordeiros,0.00
251445,São José dos Ramos,0.20
251490,São Mamede,0.00
251500,São Miguel de Taipu,0.18
251510,São Sebastião de Lagoa de Roça,0.30
251520,São Sebastião do Umbuzeiro,0.00
251540,São Vicente do Seridó,0.18
251530,Sapé,0.20
251550,Serra Branca,0.20
251560,Serra da Raiz,0.00
251570,Serra Grande,0.00
251580,Serra Redonda,0.00
251590,Serraria,0.25
251593,Sertãozinho,0.24
251597,Sobrado,0.14
251600,Solânea,0.28
251610,Soledade,0.09
251615,Sossêgo,0.59
251620,Sousa,0.08
251630,Sumé,0.21
251640,Tacima,0.21
251650,Taperoá,0.38
251660,Tavares,0.08
251670,Teixeira,0.30
251675,Tenório,0.00
251680,Triunfo,0.00
251690,Uiraúna,0.18
251700,Umbuzeiro,0.49
251710,Várzea,0.00
251720,Vieirópolis,0.00
250550,Vista Serrana,0.00
251740,Zabelê,1.00
