geocode,Municipio,value
250010,Água Branca,0.89
250020,Aguiar,0.90
250030,Alagoa Grande,0.90
250040,Alagoa Nova,0.85
250050,Alagoinha,0.93
250053,Alcantil,0.82
250057,Algodão de Jandaíra,0.95
250060,Alhandra,0.85
250073,Amparo,0.89
250077,Aparecida,0.90
250080,Araçagi,0.73
250090,Arara,0.92
250100,Araruna,0.92
250110,Areia,0.79
250115,Areia de Baraúnas,0.77
250120,Areial,0.91
250130,Aroeiras,0.75
250135,Assunção,0.87
250140,Baía da Traição,0.98
250150,Bananeiras,0.79
250153,Baraúna,0.96
250160,Barra de Santa Rosa,0.91
250157,Barra de Santana,0.89
250170,Barra de São Miguel,0.95
250180,Bayeux,0.82
250190,Belém,0.90
250200,Belém do Brejo do Cruz,0.87
250205,Bernardino Batista,0.84
250210,Boa Ventura,0.82
250215,Boa Vista,0.49
250220,Bom Jesus,0.67
250230,Bom Sucesso,0.82
250240,Bonito de Santa Fé,0.90
250250,Boqueirão,0.88
250270,Borborema,0.91
250280,Brejo do Cruz,0.92
250290,Brejo dos Santos,0.80
250300,Caaporã,0.77
250310,Cabaceiras,0.88
250320,Cabedelo,0.76
250330,Cachoeira dos Índios,0.93
250340,Cacimba de Areia,0.79
250350,Cacimba de Dentro,0.88
250355,Cacimbas,0.86
250360,Caiçara,0.88
250370,Cajazeiras,0.79
250375,Cajazeirinhas,0.91
250380,Caldas Brandão,0.89
250390,Camalaú,0.83
250400,Campina Grande,0.54
250403,Capim,0.86
250407,Caraúbas,0.89
250410,Carrapateira,0.81
250415,Casserengue,0.94
250420,Catingueira,0.82
250430,Catolé do Rocha,0.85
250435,Caturité,0.76
250440,Conceição,0.87
250450,Condado,0.81
250460,Conde,0.75
250470,Congo,0.81
250480,Coremas,0.77
250485,Coxixola,0.89
250490,Cruz do Espírito Santo,0.83
250500,Cubati,0.89
250510,Cuité,0.92
250523,Cuité de Mamanguape,0.81
250520,Cuitegi,0.91
250527,Curral de Cima,0.82
250530,Curral Velho,0.86
250535,Damião,0.92
250540,Desterro,0.82
250560,Diamante,0.79
250570,Dona Inês,0.63
250580,Duas Estradas,0.88
250590,Emas,0.87
250600,Esperança,0.75
250610,Fagundes,0.82
250620,Frei Martinho,0.87
250625,Gado Bravo,0.69
250630,Guarabira,0.80
250640,Gurinhém,0.89
250650,Gurjão,0.91
250660,Ibiara,0.88
250260,Igaracy,0.87
250670,Imaculada,0.86
250680,Ingá,0.91
250690,Itabaiana,0.75
250700,Itaporanga,0.83
250710,Itapororoca,0.92
250720,Itatuba,0.85
250730,Jacaraú,0.89
250740,Jericó,0.84
250750,João Pessoa,0.00
251365,Joca Claudino,0.77
250760,Juarez Távora,0.91
250770,Juazeirinho,0.97
250780,Junco do Seridó,0.93
250790,Juripiranga,0.90
250800,Juru,0.80
250810,Lagoa,0.81
250820,Lagoa de Dentro,0.90
250830,Lagoa Seca,0.84
250840,Lastro,0.87
250850,Livramento,0.88
250855,Logradouro,0.95
250860,Lucena,0.76
250870,Mãe d'Água,0.88
250880,Malta,0.91
250890,Mamanguape,0.81
250900,Manaíra,0.87
250905,Marcação,0.97
250910,Mari,0.83
250915,Marizópolis,0.88
250920,Massaranduba,0.81
250930,Mataraca,0.85
250933,Matinhas,0.82
250937,Mato Grosso,0.79
250939,Maturéia,0.94
250940,Mogeiro,0.88
250950,Montadas,0.94
250960,Monte Horebe,0.99
250970,Monteiro,0.85
250980,Mulungu,0.86
250990,Natuba,0.88
251000,Nazarezinho,0.79
251010,Nova Floresta,0.91
251020,Nova Olinda,0.71
251030,Nova Palmeira,1.00
251040,Olho d'Água,0.80
251050,Olivedos,0.86
251060,Ouro Velho,0.83
251065,Parari,0.84
251070,Passagem,0.90
251080,Patos,0.81
251090,Paulista,0.88
