geocode,Municipio,value
250010,Água Branca,0.71
250020,Aguiar,0.56
250030,Alagoa Grande,0.81
250040,Alagoa Nova,0.86
250050,Alagoinha,0.92
250053,Alcantil,0.82
250057,Algodão de Jandaíra,0.95
250060,Alhandra,0.79
250073,Amparo,0.82
250077,Aparecida,0.91
250080,Araçagi,0.93
250090,Arara,0.81
250100,Araruna,0.87
250110,Areia,0.79
250115,Areia de Baraúnas,0.77
250120,Areial,0.96
250130,Aroeiras,0.77
250135,Assunção,0.87
250140,Baía da Traição,0.82
250150,Bananeiras,0.77
250153,Baraúna,0.91
250160,Barra de Santa Rosa,0.93
250157,Barra de Santana,0.93
250170,Barra de São Miguel,0.99
250180,Bayeux,0.87
250190,Belém,0.69
250200,Belém do Brejo do Cruz,0.57
250205,Bernardino Batista,0.82
250210,Boa Ventura,0.78
250215,Boa Vista,0.87
250220,Bom Jesus,0.85
250230,Bom Sucesso,0.60
250240,Bonito de Santa Fé,0.76
250250,Boqueirão,0.77
250270,Borborema,0.93
250280,Brejo do Cruz,0.74
250290,Brejo dos Santos,0.81
250300,Caaporã,0.75
250310,Cabaceiras,0.77
250320,Cabedelo,0.78
250330,Cachoeira dos Índios,0.92
250340,Cacimba de Areia,0.75
250350,Cacimba de Dentro,0.89
250355,Cacimbas,0.86
250360,Caiçara,0.91
250370,Cajazeiras,0.38
250375,Cajazeirinhas,0.66
250380,Caldas Brandão,0.81
250390,Camalaú,0.95
250400,Campina Grande,0.35
250403,Capim,0.91
250407,Caraúbas,0.93
250410,Carrapateira,0.95
250415,Casserengue,0.93
250420,Catingueira,0.65
250430,Catolé do Rocha,0.65
250435,Caturité,0.90
250440,Conceição,0.66
250450,Condado,0.86
250460,Conde,0.69
250470,Congo,0.87
250480,Coremas,0.62
250485,Coxixola,0.91
250490,Cruz do Espírito Santo,0.94
250500,Cubati,0.82
250510,Cuité,0.60
250523,Cuité de Mamanguape,0.89
250520,Cuitegi,0.91
250527,Curral de Cima,0.86
250530,Curral Velho,0.89
250535,Damião,0.90
250540,Desterro,0.91
250560,Diamante,0.89
250570,Dona Inês,0.80
250580,Duas Estradas,0.79
250590,Emas,0.98
250600,Esperança,0.76
250610,Fagundes,0.95
250620,Frei Martinho,0.51
250625,Gado Bravo,0.92
250630,Guarabira,0.43
250640,Gurinhém,0.91
250650,Gurjão,0.75
250660,Ibiara,0.70
250260,Igaracy,0.77
250670,Imaculada,0.90
250680,Ingá,0.80
250690,Itabaiana,0.60
250700,Itaporanga,0.64
250710,Itapororoca,0.87
250720,Itatuba,0.96
250730,Jacaraú,0.87
250740,Jericó,0.94
250750,João Pessoa,0.33
251365,Joca Claudino,0.89
250760,Juarez Távora,0.92
250770,Juazeirinho,0.85
250780,Junco do Seridó,0.94
250790,Juripiranga,0.80
250800,Juru,0.78
250810,Lagoa,1.00
250820,Lagoa de Dentro,0.62
250830,Lagoa Seca,0.83
250840,Lastro,0.42
250850,Livramento,0.94
250855,Logradouro,0.80
250860,Lucena,0.88
250870,Mãe d'Água,0.89
250880,Malta,0.95
250890,Mamanguape,0.59
250900,Manaíra,0.87
250905,Marcação,0.88
250910,Mari,0.85
250915,Marizópolis,0.97
250920,Massaranduba,0.67
250930,Mataraca,0.85
250933,Matinhas,0.95
250937,Mato Grosso,0.91
250939,Maturéia,0.94
250940,Mogeiro,0.91
250950,Montadas,0.96
250960,Monte Horebe,0.98
250970,Monteiro,0.46
250980,Mulungu,0.92
250990,Natuba,0.80
251000,Nazarezinho,0.91
251010,Nova Floresta,0.84
251020,Nova Olinda,0.65
251030,Nova Palmeira,0.89
251040,Olho d'Água,0.94
251050,Olivedos,0.91
251060,Ouro Velho,0.75
251065,Parari,0.94
251070,Passagem,0.78
251080,Patos,0.48
251090,Paulista,0.72
251100,Pedra Branca,0.87
251110,Pedra Lavrada,0.71
251120,Pedras de Fogo,0.80
251272,Pedro Régis,0.95
251130,Piancó,0.00
251140,Picuí,0.37
251150,Pilar,0.77
251160,Pilões,0.92
251170,Pilõezinhos,0.94
251180,Pirpirituba,0.97
251190,Pitimbu,0.92
251200,Pocinhos,0.69
251203,Poço Dantas,0.88
251207,Poço de José de Moura,0.95
251210,Pombal,0.53
251220,Prata,0.84
251230,Princesa Isabel,0.51
251240,Puxinanã,0.94
251250,Queimadas,0.81
251260,Quixabá,0.96
251270,Remígio,0.87
251274,Riachão,0.85
251275,Riachão do Bacamarte,0.92
251276,Riachão do Poço,1.00
251278,Riacho de Santo Antônio,0.60
251280,Riacho dos Cavalos,0.84
251290,Rio Tinto,0.87
251300,Salgadinho,0.94
251310,Salgado de São Félix,0.94
251315,Santa Cecília,0.97
251320,Santa Cruz,0.76
251330,Santa Helena,0.89
251335,Santa Inês,0.72
251340,Santa Luzia,0.55
251370,Santa Rita,0.64
251380,Santa Teresinha,0.83
251350,Santana de Mangueira,0.91
251360,Santana dos Garrotes,0.87
251385,Santo André,0.69
251392,São Bentinho,0.84
251390,São Bento,0.77
251396,São Domingos,0.97
251394,São Domingos do Cariri,0.77
251398,São Francisco,0.88
251400,São João do Cariri,0.83
250070,São João do Rio do Peixe,0.80
251410,São João do Tigre,0.90
251420,São José da Lagoa Tapada,0.84
251430,São José de Caiana,0.79
251440,São José de Espinharas,0.87
251450,São José de Piranhas,0.85
251455,São José de Princesa,0.91
251460,São José do Bonfim,0.94
251465,São José do Brejo do Cruz,0.82
251470,São José do Sabugi,0.70
251480,São José dos Cordeiros,0.98
251445,São José dos Ramos,0.91
251490,São Mamede,0.45
251500,São Miguel de Taipu,0.83
251510,São Sebastião de Lagoa de Roça,0.92
251520,São Sebastião do Umbuzeiro,0.86
251540,São Vicente do Seridó,0.77
251530,Sapé,0.80
251550,Serra Branca,0.64
251560,Serra da Raiz,0.89
251570,Serra Grande,0.53
251580,Serra Redonda,0.87
251590,Serraria,0.69
251593,Sertãozinho,0.93
251597,Sobrado,0.96
251600,Solânea,0.79
251610,Soledade,0.75
251615,Sossêgo,0.96
251620,Sousa,0.62
251630,Sumé,0.73
251640,Tacima,1.00
251650,Taperoá,0.57
251660,Tavares,0.79
251670,Teixeira,0.77
251675,Tenório,0.92
251680,Triunfo,0.88
251690,Uiraúna,0.54
251700,Umbuzeiro,0.84
251710,Várzea,0.71
251720,Vieirópolis,0.88
250550,Vista Serrana,0.92
251740,Zabelê,0.89
