geocode,Municipio,value
250010,Água Branca,0.25
250020,Aguiar,0.52
250030,Alagoa Grande,0.42
250040,Alagoa Nova,0.28
250050,Alagoinha,0.40
250053,Alcantil,0.45
250057,Algodão de Jandaíra,0.24
250060,Alhandra,0.06
250073,Amparo,0.22
250077,Aparecida,0.54
250080,Araçagi,0.41
250090,Arara,0.59
250100,Araruna,0.32
250110,Areia,0.35
250115,Areia de Baraúnas,0.13
250120,Areial,0.54
250130,Aroeiras,0.47
250135,Assunção,0.29
250140,Baía da Traição,0.06
250150,Bananeiras,0.39
250153,Baraúna,0.45
250160,Barra de Santa Rosa,0.45
250157,Barra de Santana,0.60
250170,Barra de São Miguel,0.48
250180,Bayeux,0.17
250190,Belém,0.53
250200,Belém do Brejo do Cruz,0.68
250205,Bernardino Batista,0.15
250210,Boa Ventura,0.55
250215,Boa Vista,0.29
250220,Bom Jesus,0.28
250230,Bom Sucesso,0.84
250240,Bonito de Santa Fé,0.37
250250,Boqueirão,0.30
250270,Borborema,0.39
250280,Brejo do Cruz,0.23
250290,Brejo dos Santos,0.30
250300,Caaporã,0.01
250310,Cabaceiras,0.34
250320,Cabedelo,0.19
250330,Cachoeira dos Índios,0.38
250340,Cacimba de Areia,0.36
250350,Cacimba de Dentro,0.40
250355,Cacimbas,0.18
250360,Caiçara,0.50
250370,Cajazeiras,0.37
250375,Cajazeirinhas,0.17
250380,Caldas Brandão,0.37
250390,Camalaú,0.34
250400,Campina Grande,0.26
250403,Capim,0.21
250407,Caraúbas,0.73
250410,Carrapateira,0.62
250415,Casserengue,0.36
250420,Catingueira,0.49
250430,Catolé do Rocha,0.45
250435,Caturité,0.36
250440,Conceição,0.36
250450,Condado,0.36
250460,Conde,0.25
250470,Congo,0.35
250480,Coremas,0.43
250485,Coxixola,1.00
250490,Cruz do Espírito Santo,0.26
250500,Cubati,0.50
250510,Cuité,0.39
250523,Cuité de Mamanguape,0.45
250520,Cuitegi,0.34
250527,Curral de Cima,0.27
250530,Curral Velho,0.11
250535,Damião,0.39
250540,Desterro,0.33
250560,Diamante,0.18
250570,Dona Inês,0.32
250580,Duas Estradas,0.65
250590,Emas,0.33
250600,Esperança,0.34
250610,Fagundes,0.42
250620,Frei Martinho,0.54
250625,Gado Bravo,0.49
250630,Guarabira,0.29
250640,Gurinhém,0.34
250650,Gurjão,0.32
250660,Ibiara,0.50
250260,Igaracy,0.67
250670,Imaculada,0.20
250680,Ingá,0.29
250690,Itabaiana,0.34
250700,Itaporanga,0.40
250710,Itapororoca,0.30
250720,Itatuba,0.29
250730,Jacaraú,0.36
250740,Jericó,0.39
250750,João Pessoa,0.21
251365,Joca Claudino,0.27
250760,Juarez Távora,0.26
250770,Juazeirinho,0.25
250780,Junco do Seridó,0.27
250790,Juripiranga,0.31
250800,Juru,0.46
250810,Lagoa,0.63
250820,Lagoa de Dentro,0.38
250830,Lagoa Seca,0.31
250840,Lastro,0.29
250850,Livramento,0.47
250855,Logradouro,0.51
250860,Lucena,0.11
250870,Mãe d'Água,0.47
250880,Malta,0.35
250890,Mamanguape,0.21
250900,Manaíra,0.41
250905,Marcação,0.12
250910,Mari,0.36
250915,Marizópolis,0.24
250920,Massaranduba,0.49
250930,Mataraca,0.29
250933,Matinhas,0.23
250937,Mato Grosso,0.20
250939,Maturéia,0.27
250940,Mogeiro,0.37
250950,Montadas,0.56
250960,Monte Horebe,0.24
250970,Monteiro,0.62
250980,Mulungu,0.42
250990,Natuba,0.32
251000,Nazarezinho,0.31
251010,Nova Floresta,0.42
251020,Nova Olinda,0.14
251030,Nova Palmeira,0.83
251040,Olho d'Água,0.27
251050,Olivedos,0.52
251060,Ouro Velho,0.32
251065,Parari,0.35
251070,Passagem,0.25
251080,Patos,0.20
251090,Paulista,0.23
251100,Pedra Branca,0.17
251110,Pedra Lavrada,0.44
251120,Pedras de Fogo,0.20
251272,Pedro Régis,0.49
251130,Piancó,0.32
251140,Picuí,0.43
251150,Pilar,0.24
251160,Pilões,0.29
251170,Pilõezinhos,0.30
251180,Pirpirituba,0.26
251190,Pitimbu,0.00
251200,Pocinhos,0.36
251203,Poço Dantas,0.13
251207,Poço de José de Moura,0.42
251210,Pombal,0.41
251220,Prata,0.59
251230,Princesa Isabel,0.28
251240,Puxinanã,0.37
251250,Queimadas,0.35
251260,Quixabá,0.59
251270,Remígio,0.41
251274,Riachão,0.23
251275,Riachão do Bacamarte,0.45
251276,Riachão do Poço,0.22
251278,Riacho de Santo Antônio,0.41
251280,Riacho dos Cavalos,0.61
251290,Rio Tinto,0.24
251300,Salgadinho,0.40
251310,Salgado de São Félix,0.56
251315,Santa Cecília,0.53
251320,Santa Cruz,0.77
251330,Santa Helena,0.59
251335,Santa Inês,0.10
251340,Santa Luzia,0.43
251370,Santa Rita,0.20
251380,Santa Teresinha,0.69
251350,Santana de Mangueira,0.16
251360,Santana dos Garrotes,0.42
251385,Santo André,0.41
251392,São Bentinho,0.36
251390,São Bento,0.19
251396,São Domingos,0.44
251394,São Domingos do Cariri,0.42
251398,São Francisco,0.86
251400,São João do Cariri,0.98
250070,São João do Rio do Peixe,0.41
251410,São João do Tigre,0.29
251420,São José da Lagoa Tapada,0.44
251430,São José de Caiana,0.24
251440,São José de Espinharas,0.73
251450,São José de Piranhas,0.44
251455,São José de Princesa,0.25
251460,São José do Bonfim,0.37
251465,São José do Brejo do Cruz,0.70
251470,São José do Sabugi,0.27
251480,São José dos Cordeiros,0.40
251445,São José dos Ramos,0.32
251490,São Mamede,0.45
251500,São Miguel de Taipu,0.24
251510,São Sebastião de Lagoa de Roça,0.46
251520,São Sebastião do Umbuzeiro,0.33
251540,São Vicente do Seridó,0.22
251530,Sapé,0.33
251550,Serra Branca,0.58
251560,Serra da Raiz,0.33
251570,Serra Grande,0.21
251580,Serra Redonda,0.38
251590,Serraria,0.47
251593,Sertãozinho,0.57
251597,Sobrado,0.28
251600,Solânea,0.49
251610,Soledade,0.29
251615,Sossêgo,0.52
251620,Sousa,0.27
251630,Sumé,0.50
